Team,season_year,Team Revenue,Ticket Price,Operating Income,franchise_id
Toronto Raptors,2014,151.0,43.4,18.0,28
Utah Jazz,2014,142.0,33.5,33.0,29
Washington Wizards,2014,143.0,23.0,10.0,30
Atlanta Hawks,2015,142.0,27.8,7.0,1
Boston Celtics,2015,181.0,51.2,57.0,2
Brooklyn Nets,2015,220.0,46.1,-6.0,19
Charlotte Hornets,2015,142.0,21.9,4.0,4
Chicago Bulls,2015,228.0,71.8,68.0,5
Cleveland Cavaliers,2015,191.0,37.9,25.0,6
Dallas Mavericks,2015,177.0,43.0,24.0,7
Denver Nuggets,2015,140.0,30.1,26.0,8
Detroit Pistons,2015,154.0,24.4,16.0,9
Golden State Warriors,2015,201.0,41.8,58.0,10
Houston Rockets,2015,237.0,49.3,75.0,11
Indiana Pacers,2015,138.0,22.8,19.0,12
Los Angeles Clippers,2015,176.0,64.4,21.0,13
Los Angeles Lakers,2015,304.0,98.3,133.0,14
Memphis Grizzlies,2015,147.0,22.0,10.0,15
Miami Heat,2015,180.0,63.0,21.0,16
Milwaukee Bucks,2015,126.0,29.3,12.0,17
Minnesota Timberwolves,2015,146.0,22.0,15.0,18
New Orleans Pelicans,2015,142.0,22.6,20.0,4
New York Knicks,2015,307.0,105.6,109.0,20
Oklahoma City Thunder,2015,157.0,41.1,21.0,21
Orlando Magic,2015,143.0,28.9,35.0,22
Philadelphia 76ers,2015,124.0,22.3,14.0,23
Phoenix Suns,2015,154.0,38.9,22.0,24
Portland Trail Blazers,2015,157.0,42.5,4.0,25
Sacramento Kings,2015,141.0,31.3,4.0,26
San Antonio Spurs,2015,170.0,45.0,32.0,27
Toronto Raptors,2015,163.0,43.7,23.0,28
Utah Jazz,2015,146.0,33.2,28.0,29
Washington Wizards,2015,146.0,26.2,3.0,30
Atlanta Hawks,2016,169.0,28.3,20.0,1
Boston Celtics,2016,200.0,49.4,65.0,2
Brooklyn Nets,2016,223.0,40.9,16.0,19
Charlotte Hornets,2016,158.0,22.2,9.0,4
Chicago Bulls,2016,232.0,73.4,46.0,5
Cleveland Cavaliers,2016,233.0,40.5,-40.0,6
Dallas Mavericks,2016,194.0,43.0,43.0,7
Denver Nuggets,2016,157.0,28.3,21.0,8
Detroit Pistons,2016,172.0,21.7,22.0,9
Golden State Warriors,2016,305.0,64.3,74.0,10
Houston Rockets,2016,244.0,49.4,63.0,11
Indiana Pacers,2016,157.0,26.9,24.0,12
Los Angeles Clippers,2016,185.0,65.3,-12.0,13
Los Angeles Lakers,2016,333.0,100.5,119.0,14
Memphis Grizzlies,2016,155.0,21.2,0.0,15
Miami Heat,2016,210.0,62.3,21.0,16
Milwaukee Bucks,2016,146.0,30.5,24.0,17
Minnesota Timberwolves,2016,154.0,21.5,26.0,18
New Orleans Pelicans,2016,156.0,22.7,17.0,4
New York Knicks,2016,376.0,105.6,141.0,20
Oklahoma City Thunder,2016,187.0,41.1,-8.0,21
Orlando Magic,2016,166.0,30.2,45.0,22
Philadelphia 76ers,2016,140.0,23.2,18.0,23
Phoenix Suns,2016,173.0,39.3,26.0,24
Portland Trail Blazers,2016,178.0,42.1,41.0,25
Sacramento Kings,2016,164.0,34.0,18.0,26
San Antonio Spurs,2016,187.0,41.6,18.0,27
Toronto Raptors,2016,193.0,43.9,46.0,28
Utah Jazz,2016,164.0,34.0,36.0,29
Washington Wizards,2016,155.0,34.8,7.0,30
Atlanta Hawks,2017,209.0,27.5,22.0,1
Boston Celtics,2017,257.0,64.7,85.0,2
Brooklyn Nets,2017,273.0,47.5,52.0,19
Charlotte Hornets,2017,202.0,23.5,21.0,4
Chicago Bulls,2017,281.0,72.9,95.0,5
Cleveland Cavaliers,2017,280.0,48.1,-6.0,6
Dallas Mavericks,2017,233.0,42.2,21.0,7
Denver Nuggets,2017,202.0,29.7,49.0,8
Detroit Pistons,2017,221.0,45.2,22.0,9
Golden State Warriors,2017,359.0,77.9,120.0,10
Houston Rockets,2017,296.0,47.3,95.0,11
Indiana Pacers,2017,205.0,27.4,29.0,12
Los Angeles Clippers,2017,257.0,70.4,35.0,13
Los Angeles Lakers,2017,371.0,101.0,136.0,14
Memphis Grizzlies,2017,206.0,22.4,15.0,15
Miami Heat,2017,253.0,62.0,63.0,16
Milwaukee Bucks,2017,179.0,33.8,20.0,17
Minnesota Timberwolves,2017,204.0,24.3,53.0,18
New Orleans Pelicans,2017,204.0,23.9,37.0,4
New York Knicks,2017,426.0,105.4,140.0,20
Oklahoma City Thunder,2017,222.0,46.3,64.0,21
Orlando Magic,2017,211.0,30.6,39.0,22
Philadelphia 76ers,2017,184.0,27.0,40.0,23
Phoenix Suns,2017,218.0,39.7,31.0,24
Portland Trail Blazers,2017,223.0,42.0,25.0,25
Sacramento Kings,2017,240.0,54.1,50.0,26
San Antonio Spurs,2017,259.0,49.1,59.0,27
Toronto Raptors,2017,250.0,52.9,51.0,28
Utah Jazz,2017,221.0,35.5,61.0,29
Washington Wizards,2017,222.0,55.1,21.0,30
Atlanta Hawks,2018,215.0,29.5,42.0,1
Boston Celtics,2018,287.0,63.3,100.0,2
Brooklyn Nets,2018,290.0,48.5,53.0,19
Charlotte Hornets,2018,213.0,24.8,22.0,4
Chicago Bulls,2018,287.0,69.9,114.0,5
Cleveland Cavaliers,2018,302.0,50.6,-13.0,6
Dallas Mavericks,2018,287.0,43.0,99.0,7
Denver Nuggets,2018,222.0,36.6,47.0,8
Detroit Pistons,2018,235.0,35.7,52.0,9
Golden State Warriors,2018,401.0,92.4,103.0,10
Houston Rockets,2018,326.0,51.6,103.0,11
Indiana Pacers,2018,222.0,26.3,50.0,12
Los Angeles Clippers,2018,258.0,62.8,43.0,13
Los Angeles Lakers,2018,395.0,104.8,147.0,14
Memphis Grizzlies,2018,213.0,22.9,27.0,15
Miami Heat,2018,259.0,66.8,40.0,16
Milwaukee Bucks,2018,204.0,37.7,25.0,17
Minnesota Timberwolves,2018,223.0,31.5,47.0,18
New Orleans Pelicans,2018,214.0,27.0,29.0,4
New York Knicks,2018,443.0,103.0,155.0,20
Oklahoma City Thunder,2018,241.0,52.2,10.0,21
Orlando Magic,2018,223.0,30.1,64.0,22
Philadelphia 76ers,2018,268.0,43.3,68.0,23
Phoenix Suns,2018,235.0,39.1,47.0,24
Portland Trail Blazers,2018,246.0,46.1,40.0,25
Sacramento Kings,2018,263.0,48.7,72.0,26
San Antonio Spurs,2018,262.0,56.6,53.0,27
Toronto Raptors,2018,275.0,52.9,76.0,28
Utah Jazz,2018,243.0,32.3,59.0,29
Washington Wizards,2018,255.0,56.8,34.0,30
Atlanta Hawks,2019,251.0,45.3,78.0,1
Boston Celtics,2019,304.0,72.5,88.0,2
Brooklyn Nets,2019,304.0,55.1,42.0,19
Charlotte Hornets,2019,240.0,23.7,39.0,4
Chicago Bulls,2019,301.0,70.0,103.0,5
Cleveland Cavaliers,2019,300.0,67.4,39.0,6
Dallas Mavericks,2019,307.0,57.4,105.0,7
Denver Nuggets,2019,252.0,41.6,52.0,8
Detroit Pistons,2019,255.0,35.8,52.0,9
Golden State Warriors,2019,440.0,100.4,109.0,10
Houston Rockets,2019,348.0,66.6,110.0,11
Indiana Pacers,2019,243.0,34.5,55.0,12
Los Angeles Clippers,2019,282.0,63.9,70.0,13
Los Angeles Lakers,2019,434.0,116.8,178.0,14
Memphis Grizzlies,2019,224.0,21.3,24.0,15
Miami Heat,2019,294.0,75.7,58.0,16
Milwaukee Bucks,2019,283.0,46.9,69.0,17
Minnesota Timberwolves,2019,234.0,29.5,46.0,18
New Orleans Pelicans,2019,224.0,27.6,49.0,4
New York Knicks,2019,472.0,109.1,157.0,20
Oklahoma City Thunder,2019,258.0,52.2,-23.0,21
Orlando Magic,2019,244.0,36.0,70.0,22
Philadelphia 76ers,2019,300.0,58.7,90.0,23
Phoenix Suns,2019,246.0,37.0,42.0,24
Portland Trail Blazers,2019,287.0,52.8,51.0,25
Sacramento Kings,2019,286.0,56.1,81.0,26
San Antonio Spurs,2019,285.0,56.3,66.0,27
Toronto Raptors,2019,334.0,63.4,79.0,28
Utah Jazz,2019,258.0,42.0,63.0,29
Washington Wizards,2019,269.0,60.9,55.0,30
Atlanta Hawks,2020,222.0,32.7,36.0,1
Boston Celtics,2020,274.0,64.1,86.0,2
Brooklyn Nets,2020,280.0,52.5,44.0,19
Charlotte Hornets,2020,215.0,17.2,36.0,4
Chicago Bulls,2020,300.0,63.9,115.0,5
Cleveland Cavaliers,2020,269.0,46.8,46.0,6
Dallas Mavericks,2020,295.0,55.3,84.0,7
Denver Nuggets,2020,218.0,36.7,27.0,8
Detroit Pistons,2020,227.0,28.0,45.0,9
Golden State Warriors,2020,474.0,92.1,200.0,10
Houston Rockets,2020,308.0,56.7,94.0,11
Indiana Pacers,2020,217.0,30.2,39.0,12
Los Angeles Clippers,2020,262.0,55.5,57.0,13
Los Angeles Lakers,2020,400.0,88.3,155.0,14
Memphis Grizzlies,2020,210.0,17.8,22.0,15
Miami Heat,2020,266.0,50.4,38.0,16
Milwaukee Bucks,2020,239.0,41.2,27.0,17
Minnesota Timberwolves,2020,214.0,22.2,32.0,18
New Orleans Pelicans,2020,209.0,21.1,44.0,4
New York Knicks,2020,421.0,86.9,178.0,20
Oklahoma City Thunder,2020,236.0,43.3,51.0,21
Orlando Magic,2020,218.0,29.1,37.0,22
Philadelphia 76ers,2020,259.0,46.7,51.0,23
Phoenix Suns,2020,222.0,32.5,20.0,24
Portland Trail Blazers,2020,240.0,42.6,27.0,25
Sacramento Kings,2020,245.0,46.3,45.0,26
San Antonio Spurs,2020,255.0,41.3,63.0,27
Toronto Raptors,2020,264.0,53.2,79.0,28
Utah Jazz,2020,226.0,35.8,42.0,29
Washington Wizards,2020,231.0,42.6,39.0,30
Atlanta Hawks,2021,199.0,1.55,37.0,1
Boston Celtics,2021,211.0,0.72,46.0,2
Brooklyn Nets,2021,212.0,1.45,-80.0,19
Charlotte Hornets,2021,183.0,0.5,34.0,4
Chicago Bulls,2021,213.0,0.0,39.0,5
Cleveland Cavaliers,2021,211.0,3.81,11.0,6
Dallas Mavericks,2021,231.0,2.82,55.0,7
Denver Nuggets,2021,185.0,0.64,15.0,8
Detroit Pistons,2021,192.0,0.29,43.0,9
Golden State Warriors,2021,258.0,0.0,-44.0,10
Houston Rockets,2021,223.0,7.78,33.0,11
Indiana Pacers,2021,179.0,0.0,4.0,12
Los Angeles Clippers,2021,219.0,0.0,18.0,13
Los Angeles Lakers,2021,316.0,0.0,63.0,14
Memphis Grizzlies,2021,186.0,1.19,12.0,15
Miami Heat,2021,218.0,0.0,16.0,16
Milwaukee Bucks,2021,212.0,2.15,11.0,17
Minnesota Timberwolves,2021,199.0,0.07,29.0,18
New Orleans Pelicans,2021,181.0,2.39,24.0,4
New York Knicks,2021,298.0,2.63,71.0,20
Oklahoma City Thunder,2021,183.0,0.0,48.0,21
Orlando Magic,2021,188.0,4.92,29.0,22
Philadelphia 76ers,2021,236.0,1.42,13.0,23
Phoenix Suns,2021,206.0,2.75,15.0,24
Portland Trail Blazers,2021,201.0,0.0,19.0,25
Sacramento Kings,2021,192.0,0.0,25.0,26
San Antonio Spurs,2021,205.0,2.37,39.0,27
Toronto Raptors,2021,194.0,1.62,2.0,28
Utah Jazz,2021,262.0,5.33,96.0,29
Washington Wizards,2021,213.0,0.0,15.0,30
