Team,City,Beginning-Year,Ending-Year,Abbreviation,franchise_id,teamId,other_abbreviation
Spirits of St. Louis,Defunct 16,1975,1976,SSL,-16,-16,SSL
Carolina Cougars,Defunct 16,1970,1974,CAR,-16,-16,CAR
Houston Mavericks,Defunct 16,1968,1969,HSM,-16,-16,HSM
St. Louis Bombers,Defunct 17,1947,1950,STB,-17,9012,BOM
The Floridians,Defunct 18,1971,1972,FLO,-18,-18,FLO
Miami Floridians,Defunct 18,1969,1970,MMF,-18,-18,MMF
Minnesota Muskies,Defunct 18,1968,1968,MNM,-18,-18,MNM
Toronto Huskies,Defunct 19,1947,1947,TRH,-19,9042,HUS
Anaheim Amigos,Defunct 20,1968,1968,ANA,-20,-20,ANA
Los Angeles Stars,Defunct 20,1969,1970,LAS,-20,-20,LAS
Utah Stars,Defunct 20,1971,1976,UTS,-20,-20,UTS
Virginia Squires,Defunct 21,1971,1976,VIR,-21,-21,VIR
Washington Capitals,Defunct 21,1970,1970,WSA,-21,-21,WSA
Oakland Oaks,Defunct 21,1968,1969,OAK,-21,-21,OAK
Washington Capitals,Defunct 22,1947,1951,WSC,-22,-22,WSC
Waterloo Hawks,Defunct 23,1950,1950,WAT,-23,9002,WAT
