player_id,Player,Rank,Year Drafted,Age,Team,MP RS,OWS RS,DWS RS,WS RS,WS/48 RS,season_year,MP PO,OWS PO,DWS PO,WS PO,WS/48 PO,Impact,Year Started,franchise_id,teams_played_for,salary,allocated_salary,MP_Total,MP_RS_Cost,MP_TOT_Cost,WS_RS_Cost,WS_TOT_Cost,Impact_Cost,Rookie Contract Year
abdulta01,Tariq Abdul-Wahad,11,1997,25,Orlando Magic,1205,0.4,1.6,2.0,0.082,2000,0.0,0.0,0.0,0.0,0.0,2.0,1998,22,2,1594920.0,531640.0,1205.0,441.19502074688796,441.19502074688796,265820.0,265820.0,265820.0,4
abdulta01,Tariq Abdul-Wahad,11,1997,28,Dallas Mavericks,204,0.2,0.2,0.4,0.104,2003,79.0,0.1,0.0,0.1,0.034,0.8,1998,7,1,5625000.0,5625000.0,283.0,27573.529411764706,19876.32508833922,14062500.0,11250000.0,7031250.0,7
abdursh01,Shareef Abdur-Rahim,3,1996,20,Vancouver Grizzlies,2802,1.7,1.2,2.9,0.049,1997,0.0,0.0,0.0,0.0,0.0,2.9,1997,15,1,2186000.0,2186000.0,2802.0,780.1570306923626,780.1570306923626,753793.103448276,753793.103448276,753793.103448276,2
abdursh01,Shareef Abdur-Rahim,3,1996,21,Vancouver Grizzlies,2950,6.3,0.6,6.9,0.113,1998,0.0,0.0,0.0,0.0,0.0,6.9,1997,15,1,2513760.0,2513760.0,2950.0,852.1220338983051,852.1220338983051,364313.04347826086,364313.04347826086,364313.04347826086,3
abdursh01,Shareef Abdur-Rahim,3,1996,22,Vancouver Grizzlies,2021,3.7,0.9,4.6,0.108,1999,0.0,0.0,0.0,0.0,0.0,4.6,1997,15,1,2842000.0,2842000.0,2021.0,1406.2345373577436,1406.2345373577436,617826.0869565217,617826.0869565217,617826.0869565217,4
abdursh01,Shareef Abdur-Rahim,3,1996,23,Vancouver Grizzlies,3223,6.2,2.6,8.8,0.132,2000,0.0,0.0,0.0,0.0,0.0,8.8,1997,15,1,9000000.0,9000000.0,3223.0,2792.429413589823,2792.429413589823,1022727.2727272726,1022727.2727272726,1022727.2727272726,5
abdursh01,Shareef Abdur-Rahim,3,1996,24,Vancouver Grizzlies,3241,5.6,2.9,8.5,0.126,2001,0.0,0.0,0.0,0.0,0.0,8.5,1997,15,1,10130000.0,10130000.0,3241.0,3125.5785251465595,3125.5785251465595,1191764.705882353,1191764.705882353,1191764.705882353,6
abdursh01,Shareef Abdur-Rahim,3,1996,25,Atlanta Hawks,2980,4.1,3.1,7.2,0.116,2002,0.0,0.0,0.0,0.0,0.0,7.2,1997,1,1,11250000.0,11250000.0,2980.0,3775.1677852348994,3775.1677852348994,1562500.0,1562500.0,1562500.0,7
abdursh01,Shareef Abdur-Rahim,3,1996,26,Atlanta Hawks,3087,7.4,2.3,9.7,0.151,2003,0.0,0.0,0.0,0.0,0.0,9.7,1997,1,1,12375000.0,12375000.0,3087.0,4008.746355685131,4008.746355685131,1275773.1958762887,1275773.1958762887,1275773.1958762887,8
abdursh01,Shareef Abdur-Rahim,3,1996,27,Atlanta Hawks,1956,5.3,1.3,6.6,0.163,2004,0.0,0.0,0.0,0.0,0.0,6.6,1997,1,2,13500000.0,9000000.0,1956.0,4601.226993865031,4601.226993865031,1363636.3636363638,1363636.3636363638,1363636.3636363638,9
abdursh01,Shareef Abdur-Rahim,3,1996,27,Portland Trail Blazers,728,0.9,0.6,1.5,0.098,2004,0.0,0.0,0.0,0.0,0.0,1.5,1997,25,2,13500000.0,4500000.0,728.0,6181.318681318681,6181.318681318681,3000000.0,3000000.0,3000000.0,9
abdursh01,Shareef Abdur-Rahim,3,1996,28,Portland Trail Blazers,1867,3.9,1.5,5.4,0.139,2005,0.0,0.0,0.0,0.0,0.0,5.4,1997,25,1,14625000.0,14625000.0,1867.0,7833.422603106588,7833.422603106588,2708333.333333333,2708333.333333333,2708333.333333333,10
abdursh01,Shareef Abdur-Rahim,3,1996,29,Sacramento Kings,1961,4.0,2.2,6.2,0.152,2006,129.0,0.0,0.0,-0.1,-0.03,5.8,1997,26,1,5000000.0,5000000.0,2090.0,2549.719530851606,2392.3444976076553,806451.6129032258,819672.1311475409,862068.9655172414,11
abdursh01,Shareef Abdur-Rahim,3,1996,30,Sacramento Kings,2015,1.1,1.7,2.8,0.067,2007,0.0,0.0,0.0,0.0,0.0,2.8,1997,26,1,5400000.0,5400000.0,2015.0,2679.9007444168733,2679.9007444168733,1928571.4285714286,1928571.4285714286,1928571.4285714286,12
abrinal01,Álex Abrines,32,2013,23,Oklahoma City Thunder,1055,1.2,0.9,2.1,0.096,2017,80.0,0.1,0.0,0.1,0.033,2.5,2017,21,1,5994764.0,5994764.0,1135.0,5682.240758293839,5281.730396475771,2854649.523809524,2724892.727272727,2397905.6,5
abrinal01,Álex Abrines,32,2013,24,Oklahoma City Thunder,1134,1.3,1.0,2.2,0.094,2018,110.0,0.1,0.1,0.2,0.107,3.0,2017,21,1,5725000.0,5725000.0,1244.0,5048.500881834215,4602.09003215434,2602272.727272727,2385416.6666666665,1908333.3333333333,6
