franchise_id,season_year,home_games,home_wins,home_attendance_total,avg_home_attendance,away_games,away_wins,away_attendance_total,avg_away_attendance,total_games,total_wins,Pct,total_attendance,attendance_avg,Team_Revenue,Ticket_Price,Operating_Income,LAFR,LAFA
1,2011,41,24,641596,15648.682926829268,41,20,695258,16957.51219512195,82,44.0,0.5365853658536586,1336854,16303.09756097561,109.0,26.3,-15.0,0.027525252525252526,0.029282835340987873
1,2012,33,23,501593,15199.787878787878,33,17,555071,16820.333333333332,66,40.0,0.6060606060606061,1056664,16010.060606060606,99.0,20.1,-19.0,0.02696078431372549,0.028500138269645866
1,2013,41,25,620146,15125.512195121952,41,19,703804,17165.951219512193,82,44.0,0.5365853658536586,1323950,16145.731707317073,119.0,23.6,-4.0,0.026119402985074626,0.028335890045345483
1,2014,41,24,587927,14339.682926829268,41,14,708251,17274.414634146342,82,38.0,0.4634146341463415,1296178,15807.048780487805,133.0,22.9,15.0,0.027777777777777776,0.026622982045504777
1,2015,41,35,713909,17412.414634146342,41,25,720873,17582.268292682926,82,60.0,0.7317073170731707,1434782,17497.341463414636,142.0,27.8,7.0,0.027413127413127413,0.03157449667308778
1,2016,41,27,690150,16832.926829268294,41,21,722066,17611.365853658535,82,48.0,0.5853658536585366,1412216,17222.146341463416,169.0,28.3,20.0,0.028810092055915445,0.030455840729919907
1,2017,41,23,654306,15958.682926829268,41,20,730479,17816.560975609755,82,43.0,0.524390243902439,1384785,16887.621951219513,209.0,27.5,22.0,0.028365906623235612,0.02890050679884482
1,2018,41,16,590769,14409.0,41,8,729839,17800.951219512193,82,24.0,0.2926829268292683,1320608,16104.975609756097,215.0,29.5,42.0,0.026851504933183463,0.025912649699131245
1,2019,41,17,628440,15327.80487804878,41,12,729237,17786.268292682926,82,29.0,0.35365853658536583,1357677,16557.036585365855,251.0,45.3,78.0,0.02865623929672337,0.02778171960727884
1,2020,34,14,545453,16042.735294117647,33,6,586966,17786.848484848484,67,20.0,0.29850746268656714,1132419,16901.776119402984,222.0,32.7,36.0,0.028044466902475997,0.030672734936843023
1,2021,36,25,59288,2195.8518518518517,36,16,37074,2851.846153846154,72,41.0,0.5694444444444444,96362,1338.361111111111,199.0,1.55,37.0,0.031064626912269747,0.03956254850395939
2,2011,41,33,763584,18624.0,41,23,777555,18964.756097560974,82,56.0,0.6829268292682927,1541139,18794.378048780487,146.0,52.7,8.0,0.03686868686868687,0.03485044255421306
2,2012,33,24,614592,18624.0,33,15,603533,18288.878787878788,66,39.0,0.5909090909090909,1218125,18456.439393939392,143.0,42.4,19.0,0.03894335511982571,0.03492065674644222
2,2013,40,27,744960,18624.0,41,14,728521,17768.80487804878,81,41.0,0.5061728395061729,1473481,18191.123456790123,169.0,54.4,47.0,0.03709394205443371,0.03403892736255748
2,2014,41,16,742400,18107.317073170732,41,9,717276,17494.536585365855,82,25.0,0.3048780487804878,1459676,17800.926829268294,173.0,54.2,55.0,0.036131996658312446,0.03361795234881668
2,2015,41,21,721350,17593.90243902439,41,19,727404,17741.560975609755,82,40.0,0.4878048780487805,1448754,17667.731707317074,181.0,51.2,57.0,0.03494208494208494,0.031903594400871635
2,2016,41,28,749076,18270.146341463416,41,20,715023,17439.585365853658,82,48.0,0.5853658536585366,1464099,17854.865853658535,200.0,49.4,65.0,0.03409478349812479,0.03305620423184161
