Ride name,Location,Opening date,Type,Manufacturer,Height,Length,Speed,Inversions,Duration,Capacity,Cost,Drop,Max vertical angle,G-force,Height Restriction,Park number
Goliath,La Ronde,"May 13, 2006; 15 years ago",Steel,Bolliger & Mabillard,174.8 ft (53.3 m),"4,038.8 ft (1,231.0 m)",68.4 mph (110.1 km/h),0,3:00,,"$18,700,000",170.6 ft (52.0 m),70°,,,48
Goliath,Six Flags Fiesta Texas,"April 18, 2008",Steel – Inverted,Bolliger & Mabillard,105 ft (32 m),"2,693 ft (821 m)",50 mph (80 km/h),5,2:00,1400 riders per hour,,80 ft (24 m),,4,,39
Goliath,Six Flags Great America,"June 19, 2014[2]",,Rocky Mountain Construction,165 ft (50 m),"3,100 ft (940 m)",72 mph (116 km/h),2,1:45,800 riders per hour,,180 ft (55 m),85°,,,38
Goliath,Six Flags Magic Mountain,"February 11, 2000",Steel,Giovanola,235 ft (72 m),"4,500 ft (1,400 m)",85 mph (137 km/h),0,3:00,1600 riders per hour,$30 million,255 ft (78 m),61°,,,32
Goofy's Sky School,Disney California Adventure,"February 8, 2001(as Mullholland Madness)July 1, 2011(as Goofy's Sky School)",Steel – Wild Mouse,Mack Rides,55 ft (17 m),"1,200 ft (370 m)",27 mph (43 km/h),0,1:45,,,,,,,17
Goudurix,Parc Astérix,1989,Steel,Vekoma,36 m (118 ft),"950 m (3,120 ft)",90 km/h (56 mph),7,1:20,,,32.9 m (108 ft),64°,3.9,,9
Grand Expostion Coaster,Silver Dollar City,April 2006,Steel – Kiddie,Zamperla,10 ft (3.0 m),280 ft (85 m),,,,,,,,,,10
Great American Scream Machine,Six Flags Over Georgia,"March 31, 1973",Wood,Philadelphia Toboggan Coasters,105 ft (32 m),"3,800 ft (1,200 m)",57 mph (92 km/h),0,2:00,1200 riders per hour,,89 ft (27 m),45°,3.7,,35
Great Bear,Hersheypark,"May 23, 1998",Steel – Inverted,Bolliger & Mabillard,90 ft (27 m),"2,800 ft (850 m)",58 mph (93 km/h),4,2:55,1300 riders per hour,"US$13,000,000",124 ft (38 m),,,,15
Great Chase,Six Flags America,1999,Steel,Zamperla,13 ft (4.0 m),280 ft (85 m),11 mph (18 km/h),0,1:06,,,,,,,42
Griffon,Busch Gardens Williamsburg,"May 18, 2007",Steel – Dive Coaster,Bolliger & Mabillard,205 ft (62 m),"3,108 ft (947 m)",71 mph (114 km/h),2,3:00,"1,400 riders per hour","$15,600,000 USD",205 ft (62 m),90°,4,,23
Grizzly,Kings Dominion,"March 27, 1982",Wood,Taft Broadcasting Company,87 ft (27 m),"3,150 ft (960 m)",51 mph (82 km/h),0,2:30,,,,,,,62
Grover's Alpine Express,Busch Gardens Williamsburg,"April 3, 2009",Steel – Junior,Zierer,24 ft (7.3 m),600 ft (180 m),26.5 mph (42.6 km/h),0,,,,,,,,23
Hagrid’s Magical Creatures Motorbike Adventure,Universal's Islands of Adventure,"June 13, 2019[1]",Steel – Launched,Intamin,65 ft (20 m),"5,053 ft (1,540 m)",50 mph (80 km/h),0,2:55,"1,700 riders per hour",USD $300 million[2],17 ft (5.2 m),70°,,,64
Harley Quinn Crazy Train,Six Flags Great Adventure,1999[1],Steel – Junior,Zierer,26.3 ft (8.0 m),"1,181.1 ft (360.0 m)",22.4 mph (36.0 km/h),0,1:05,"1,250 riders per hour",,,,,,37
Harry Potter and the Escape from Gringotts,Universal Studios Florida,"July 8, 2014[1]",Steel – Launched – Enclosed,Intamin,,"600 m (2,000 ft)",,0,5:00,,,,50°,,,65
Helix,Liseberg,26 April 2014,Steel – Launched,Mack Rides,41 m (135 ft),"1,381 m (4,531 ft)",100 km/h (62 mph),7,2:10,"1,350 riders per hour","approx. 239,000,000 SEK",,,4.3 g,,11
High Roller,Valleyfair,1976,Wood,Rauenhorst Corporation,70 ft (21 m),"2,982 ft (909 m)",50 mph (80 km/h),0,1:45,"1,150 riders per hour",,56 ft (17 m),52°,3.2,,68
Hollywood Dream – The Ride,Universal Studios Japan,9 March 2007,Steel,Bolliger & Mabillard,44 m (144 ft),"1,200 m (3,900 ft)",90 km/h (56 mph),0,2:31,,$50 million[1],43 m (141 ft),50°,,,284
Hollywood Rip Ride Rockit,Universal Studios Florida,"August 19, 2009",Steel,Maurer AG,167 ft (51 m),"3,800 ft (1,200 m)",65 mph (105 km/h),0,1:39[3],"1,850 riders per hour","US$ 45,000,000[2]",,,4.18[4],,65
Hoot N Holler,Six Flags Darien Lake,1981,Steel,Zierer,10.8 ft (3.3 m),197.5 ft (60.2 m),16.2 mph (26.1 km/h),0,,600 riders per hour,,,,,,281
Hydra the Revenge,Dorney Park & Wildwater Kingdom,"May 7, 2005",Steel – Floorless Coaster,Bolliger & Mabillard,95 ft (29 m),"3,198 ft (975 m)",53 mph (85 km/h),7,2:35,"1,245 riders per hour","$13,000,000 USD",105 ft (32 m),68°,,,69
Hyperion,Energylandia,14 July 2018,Steel,Intamin,77 m (253 ft),"1,450 m (4,760 ft)",142 km/h (88 mph),1[2],,"1,300 riders per hour",,82 m (269 ft),85°,4.8[2],,317
ICON,Blackpool Pleasure Beach,25 May 2018,Steel – Launched,Mack Rides,88.5 ft (27.0 m),"3,750 ft (1,140 m)",52.8 mph (85.0 km/h),1,2:41,,"£16,250,000",82 ft (25 m),,4.3,,273
Impulse,Knoebels Amusement Resort,"April 25, 2015",Steel,Zierer,98 ft (30 m),"1,975 ft (602 m)",55 mph (89 km/h),4,1:20,,,,90°,,,314
Incredicoaster,Disney California Adventure,"February 8, 2001June 23, 2018",Steel – Launched,Intamin,122 ft (37 m),"6,072 ft (1,851 m)",55 mph (89 km/h),1,2:36,,US$60 million,108 ft (33 m),,,,17
Indiana Jones et le Temple du Péril,Disneyland Park (Paris),30 July 1993,Steel,Intamin,59 ft (18 m),"600 m (2,000 ft)",36 mph (58 km/h),1,1:15,,,,,,,16
Insane,Gröna Lund,25 April 2009,Steel – 4th Dimension,Intamin,35.5 m (116 ft),"320 m (1,050 ft)",60 km/h (37 mph),,,,,,,3.5,,166
Intimidator,Carowinds,"March 27, 2010",Steel,Bolliger & Mabillard,232 ft (71 m),"5,316 ft (1,620 m)",75 mph (121 km/h),0,3:33,"1,600 riders per hour","US$ 23,000,000",211 ft (64 m),74°,4.3,,59
Intimidator 305,Kings Dominion,"April 2, 2010",Steel,Intamin,305 ft (93 m),"5,100 ft (1,554 m)",90 mph (145 km/h),0,3:00,"1,350 riders per hour",$25 million[1][2],300 ft (91.4 m),85°,,,62
InvadR,Busch Gardens Williamsburg,"April 7, 2017",Wood,Great Coasters International,60 ft (18 m),"2,118 ft (646 m)",48 mph (77 km/h),0,,,,74 ft (23 m),,,,23
Iron Dragon,Cedar Point,"June 11, 1987",Steel – Suspended,Arrow Dynamics,76 ft (23 m),"2,800 ft (850 m)",40 mph (64 km/h),0,2:40,"2,000 riders per hour","$4,000,000 USD",,,,,50
Iron Rattler,Six Flags Fiesta Texas,"May 25, 2013",Steel,Rocky Mountain Construction,179 ft (55 m),"3,266 ft (995 m)",70 mph (110 km/h),1,,850 riders per hour,US$10 million[1],171 ft (52 m),81°,,,39
Jack Rabbit,Kennywood,1920,Wood,Harry C. Baker,40 ft (12 m),"2,132 ft (650 m)",45 mph (72 km/h),0,1:36,,"$50,000 USD",70 ft (21 m),45°,,,312
Jaguar!,Knott's Berry Farm,"June 17, 1995",Steel,Zierer,65 ft (20 m),"2,602 ft (793 m)",35 mph (56 km/h),0,2:00,1800 riders per hour,"$10,000,000[1]",45 ft (14 m),25°,,,61
Jersey Devil Coaster,Six Flags Great Adventure,"June 13, 2021",Steel – Single-rail,Rocky Mountain Construction,130 ft (40 m),"3,000 ft (910 m)",58 mph (93 km/h),3,,,,122 ft (37 m),87°,,,37
Jetline,Gröna Lund,1988,Steel,Anton Schwarzkopf,105 ft (32 m),"2,624.8 ft (800.0 m)",55.9 mph (90.0 km/h),0,1:30,"1,300 riders per hour",,,80°,4.5,,166
Jimmy Neutron's Atomic Flyer,Movie Park Germany,March 2007,Steel – Inverted – Family,Vekoma,13 m (43 ft),"689 m (2,260 ft)",,0,,,,,,,,310
Journey to Atlantis,SeaWorld Orlando,"April 17, 1998",Steel,Mack Rides,,,,0,5:56,,,60 ft (18 m),,,,21
Judge Roy Scream,Six Flags Over Texas,"March 1, 1980",Wood,William Cobb & Associates,71 ft (22 m),"2,670 ft (810 m)",45 mph (72 km/h),0,1:30,1200 riders per hour,"$2,100,000",65 ft (20 m),42°,4.0,,34
Jurassic World VelociCoaster,Universal's Islands of Adventure,"June 10, 2021[1]",Steel – Launched,Intamin,155 ft (47 m),"4,700 ft (1,400 m)",70 mph (110 km/h),4,,,,140 ft (43 m),80°,,,64
Kiddie Coaster,Lake Compounce,"June 27, 1997",Steel,Molina & Sons,,,,,,,,,,,,313
Kiddy Hawk,Carowinds,"March 22, 2003",Steel – Family – Inverted,Vekoma,49 ft (15 m),"1,122 ft (342 m)",26 mph (42 km/h),0,1:30,650 riders per hour,,,,2.2,,59
Kingda Ka,Six Flags Great Adventure,"May 21, 2005",Steel – Launched,Intamin,456 ft (139 m),"3,118 ft (950 m)",128 mph (206 km/h),0,0:28,1400 riders per hour,$25 million,418 ft (127 m),90°,,,37
Kondaa,Walibi Belgium,"May 8, 2021",Steel,Intamin,164 ft (50 m),"3,937 ft (1,200 m)",70.2 mph (113.0 km/h),0,1:30,1080 riders per hour,"€25,000,000[1]",,80°,,,14
Krake,Heide Park,"April 16, 2011",Steel – Dive Coaster,Bolliger & Mabillard,41 m (135 ft),"476 m (1,562 ft)",103 km/h (64 mph),1,Under two minutes,,"€12,000,000",,87°,,,25
Kraken,SeaWorld Orlando,"June 1, 2000",Steel – Floorless Coaster,Bolliger & Mabillard,153 ft (47 m),"4,177 ft (1,273 m)",65 mph (105 km/h),7,2:02,1500 riders per hour,,144 ft (44 m),,3.9,,21
Kumba,Busch Gardens Tampa Bay,"April 20, 1993",Steel,Bolliger & Mabillard,143 ft (44 m),"3,978 ft (1,212 m)",60 mph (97 km/h),7,2:54,"1,700 riders per hour",,135 ft (41 m),,3.8,,24
Kvasten,Gröna Lund,"April 28, 2007",Steel – Family – Inverted,Vekoma,19.6 m (64 ft),"395 m (1,296 ft)",55 km/h (34 mph),0,1:03,758 riders per hour,"USD 7,850,000",,,2.5,,166
Laff Trakk,Hersheypark,"May 23, 2015",Steel – Spinning,Maurer AG,51 ft (16 m),"1,400 ft (430 m)",40 mph (64 km/h),0,1:10,850 riders per hour,"$14,000,000[1]",,,,,15
Le Vampire,La Ronde,"May 18, 2002",Steel – Inverted,Bolliger & Mabillard,105 ft (32 m),"2,700.2 ft (823.0 m)",50 mph (80 km/h),5,1:13 minutes,1400 riders per hour,,,,4,,48
Leviathan,Canada's Wonderland,6 May 2012[2],Steel,Bolliger & Mabillard,93.3 m (306 ft),"1,672 m (5,486 ft)",148 km/h (92 mph),0[4],3:28,1650 riders per hour,"US$28,000,000",93.3 m (306 ft),80°,4.5,,58
Lightning Rod,Dollywood,"June 13, 2016",Steel – Launched,Rocky Mountain Construction,,"3,800 ft (1,200 m)",73 mph (117 km/h),0,3:12[1],,$22 million,165 ft (50 m),73°,3.5[2],,55
Lil' Devil Coaster,Six Flags Great Adventure,1999 as Road Runner Railway; 2021 as Lil' Devil Coaster,Steel – Kiddie,Zamperla,13 ft (4.0 m),262.5 ft (80.0 m),,0,0:40,,,,,,,37
Limit,Heide Park,1999,Steel – Inverted,Vekoma,109.3 ft (33.3 m),"2,260.5 ft (689.0 m)",49.7 mph (80.0 km/h),5,1:28,1040 riders per hour,,91 ft (28 m),,,,25
Lisebergbanan,Liseberg,18 April 1987,Steel,Zierer,45 m (148 ft),"1,548 m (5,079 ft)",80 km/h (50 mph),0,,2000 riders per hour,,,,3,,11
Loch Ness Monster,Busch Gardens Williamsburg,"June 6, 1978",Steel,Arrow Development,130 ft (40 m),"3,240 ft (990 m)",60 mph (97 km/h),2,2:10,800 riders per hour,"$5,000,000[1]",114 ft (35 m),55°,3.5,,23
Lost Gravity,Walibi Holland,24 March 2016,Steel,Mack Rides,32 m (105 ft),"680 m (2,230 ft)",87 km/h (54 mph),2,2:33,800 riders per hour,,,90°,4.3,,53
Lucky Luke-The Ride: Die Daltons Brechen Aus,Movie Park Germany,"April 6, 2001",Steel – Inverted,Vekoma,33.3 m (109 ft),"689 m (2,260 ft)",80 km/h (50 mph),5,1:36,1040 riders per hour,,,,,,310
Mad Mouse,Valleyfair,"May 8, 1999",Steel – Wild Mouse,Arrow Dynamics,50 ft (15 m),"1,257 ft (383 m)",30 mph (48 km/h),0,1:30,1000 riders per hour,,,,,,68
Mad Mouse,Michigan's Adventure,"August 7, 1999",Steel – Wild Mouse,Arrow Dynamics,68 ft (21 m),"1,268 ft (386 m)",33 mph (53 km/h),,1:30,500 riders per hour,"$2,000,000",,,,,70
Magnum XL-200,Cedar Point,"May 6, 1989",Steel,Arrow Dynamics,205 ft (62 m),"5,106 ft (1,556 m)",72 mph (116 km/h),0,2:00,"2,000 riders per hour","US$ 8,000,000",194.7 ft (59.3 m),60°,,,50
Mako,SeaWorld Orlando,"June 10, 2016",Steel,Bolliger & Mabillard,200 ft (61 m),"4,760 ft (1,450 m)",73 mph (117 km/h),0,,,,200 ft (61 m),,,,21
Mamba,Worlds of Fun,"April 18, 1998",Steel,D. H. Morgan Manufacturing,205 ft (62 m),"5,600 ft (1,700 m)",75 mph (121 km/h),0,3:00,1700 riders per hour,$10 million,205 ft (62 m),66°,3.5,,63
Mammut,Gardaland,"March 19, 2008",Steel – Mine Train,Vekoma,45.11 ft (13.75 m),"3,379.3 ft (1,030.0 m)",31.1 mph (50.1 km/h),0,2:45,,,,,,,12
Manta,SeaWorld San Diego,"May 26, 2012",Steel – Launched – Family,Mack Rides,30 ft (9.1 m),"2,835 ft (864 m)",43 mph (69 km/h),0,1:56,1400 riders per hour,,54 ft (16 m),,Between 3 and 4 Gs,,20
Manta,SeaWorld Orlando,"May 22, 2009",Steel – Flying,Bolliger & Mabillard,140 ft (43 m),"3,359 ft (1,024 m)",56 mph (90 km/h),4,2:36,"1,500 riders per hour","$50,000,000[1]",113 ft (34 m),,3.7 [2],,21
Maverick,Cedar Point,"May 26, 2007",Steel – Launched,Intamin,105 ft (32 m),"4,450 ft (1,360 m)",70 mph (110 km/h),2,2:30,"1,200 riders per hour","US$21,000,000",100 ft (30 m),95°,,,50
Max & Moritz,Efteling,"June 20, 2020",Steel – Powered – Dual-tracked,Mack Rides,6 m (20 ft),300 m (980 ft),36 km/h (22 mph),0,2:30,1800 riders per hour,"€15,000,000",,,,,160
Maxx Force,Six Flags Great America,"July 4, 2019",Steel – Launched,S&S - Sansei Technologies,175 ft (53 m),"1,800 ft (550 m)",78 mph (126 km/h),5,0:23,1170 riders per hour,"$15,000,000",172 ft (52 m),,4.5,,38
Medusa,Six Flags Discovery Kingdom,"March 18, 2000",Steel – Floorless Coaster,Bolliger & Mabillard,150 ft (46 m),"3,937 ft (1,200 m)",65 mph (105 km/h),7,3:15,1600 riders per hour,"$15,000,000 USD",150 ft (46 m),,4.5,,33
Medusa Steel Coaster,Six Flags México,14 June 2014,Steel,Rocky Mountain Construction,118 ft (36 m),"3,000 ft (910 m)",58 mph (93 km/h),3,1:45,,,100 ft (30 m),54°,,,47
Mighty Canadian Minebuster,Canada's Wonderland,1981,Wood,Canada's Wonderland,27.4 m (90 ft),"1,166.8 m (3,828 ft)",89.9 km/h (55.9 mph),,2:02,,$1.2M est.,26.5 m (87 ft),,,,58
Millennium Force,Cedar Point,"May 13, 2000",Steel,Intamin,310 ft (94 m),"6,595 ft (2,010 m)",93 mph (150 km/h),0,2:20,"1,300 riders per hour","US$25,000,000",300 ft (91 m),80°,4.5,,50
Monster,Gröna Lund,"June 2, 2021; 5 months ago",Steel – Inverted,Bolliger & Mabillard,111.5 ft (34.0 m),"2,296.6 ft (700.0 m)",55.9 mph (90.0 km/h),3,,,450 million SEK (= approx. €44.3 million)[1],,,4.5,,166
Montezooma's Revenge,Knott's Berry Farm,"May 21, 1978",Steel – Launched – Shuttle,Anton Schwarzkopf,148 ft (45 m),800 ft (240 m),55 mph (89 km/h),1 (traversed twice),0:36,1344 riders per hour,,137 ft (42 m),70°,,,61
Montu,Busch Gardens Tampa Bay,"May 16, 1996",Steel – Inverted,Bolliger & Mabillard,150 ft (46 m),"3,983 ft (1,214 m)",60 mph (97 km/h),7,3 minutes,"1,710 riders per hour","US$20,000,000",128 ft (39 m),50°,3.8,,24
MotoCoaster,Six Flags Darien Lake,May 2008,Steel – Launched – Motorbike,Zamperla,44 ft (13 m),"1,198 ft (365 m)",38 mph (61 km/h),0,,250 riders per hour,$3.4million,,,,,281
Mystery Mine,Dollywood,"April 13, 2007",Steel – Euro-Fighter,Gerstlauer,85.3 ft (26.0 m),"1,804.5 ft (550.0 m)",43.5 mph (70.0 km/h),2,2:30,1000 riders per hour,$17.5 million,,95°,,,55
Mystic,Walibi Rhône-Alpes,"May 30, 2019; 2 years ago",Steel,Gerstlauer,101.7 ft (31.0 m),,52.8 mph (85.0 km/h),3,1:45,600 riders per hour,"€6,000,000",,,,,301
Mystic Timbers,Kings Island,"April 15, 2017",Wood,Great Coasters International,109 ft (33 m),"3,265 ft (995 m)",53 mph (85 km/h),0,2:00,1200 riders per hour,"$15,000,000",98 ft (30 m),,,,60
Nemesis,Alton Towers,19 March 1994[2],Steel – Inverted,Bolliger & Mabillard,13 m (42.7 ft),"716 m (2,349 ft)",81 km/h (50 mph),4,1:20,1200 riders per hour,£10 million,31.7 m (104 ft),,3.5[2],,1
Nemesis Inferno,Thorpe Park,5 April 2003,Steel – Inverted,Bolliger & Mabillard,29 m (95 ft),"750 m (2,460 ft)",80 km/h (50 mph),4,1:43,"1,150 riders per hour",£8 million,28 m (92 ft),,5,,2
New Texas Giant,Six Flags Over Texas,"April 22, 2011",Steel,Rocky Mountain Construction,153 ft (47 m),"4,200 ft (1,300 m)",65 mph (105 km/h),0,3:25,1600 riders per hour,US$10 million,147 ft (45 m),79°,4.2,,34
Nickelodeon Streak,Blackpool Pleasure Beach,1933,Wood – Out and back,,61 ft (19 m),"2,293 ft (699 m)",35 mph (56 km/h),0,1:44,,,,,3,,273
Ninja,Six Flags St. Louis,"April 8, 1989",Steel,Vekoma,108.3 ft (33.0 m),"2,430 ft (740 m)",54.7 mph (88.0 km/h),4,2:00,,,80 ft (24 m),,,,36
Ninja,Six Flags Magic Mountain,"May 21, 1988",Steel – Suspended,Arrow Dynamics,60 ft (18 m),"2,700 ft (820 m)",55 mph (89 km/h),0,1:30,"1,600 riders per hour",$6 Million USA,85[1] ft (26 m),36°,2.9,,32
Nitro,Six Flags Great Adventure,"April 7, 2001",Steel,Bolliger & Mabillard,230 ft (70 m),"5,394 ft (1,644 m)",80 mph (130 km/h),0,2:20,1800 riders per hour,"$20,000,000",215 ft (66 m),68°,4.3,,37
Objectif Mars,Futuroscope,13 June 2020,Steel – Spinning – Launched,Intamin,,"1,640.4 ft (500.0 m)",34.2 mph (55.0 km/h),0,2:50,1000 riders per hour,"€22,000,000",,,,,291
Oblivion,Alton Towers,14 March 1998,Steel – Dive Coaster,Bolliger & Mabillard,19.8 m (65 ft),"373 m (1,224 ft)",110 km/h (68 mph),0,1:15,"1,900 riders per hour",£12 million,54.8 m (180 ft),87.5°,4.5,,1
Oblivion: The Black Hole,Gardaland,"March 28, 2015",Steel – Dive Coaster,Bolliger & Mabillard,139.4 ft (42.5 m),"1,856.9 ft (566.0 m)",62.2 mph (100.1 km/h),2,,1890 riders per hour,,,87°,,,12
Octonauts Rollercoaster Adventure,Alton Towers,"March 21, 2015",Steel,Zamperla,21.3 ft (6.5 m),469.2 ft (143.0 m),,0,,,,9.8 ft (3.0 m),,,,1
Orion,Kings Island,"July 2, 2020",Steel,Bolliger & Mabillard,287 ft (87 m),"5,321 ft (1,622 m)",91 mph (146 km/h),0,3:00,"1,650 riders per hour",$30 Million,300 ft (91 m),85[1]°,,,60
Orkanen,Fårup Sommarland,"June 5, 2013",Steel – Family – Inverted,Vekoma,63.3 ft (19.3 m),"1,486.2 ft (453.0 m)",46.6 mph (75.0 km/h),0,1:00,670 riders per hour,"$35,000,000 DKK (2012)[1]",,,3,,18
Outlaw Run,Silver Dollar City,"March 15, 2013 (8 years ago)",Wood,Rocky Mountain Construction,107 ft (33 m),"2,937 ft (895 m)",68 mph (109 km/h),3,1:27,,US$10 million($11.1 million in 2020 dollars[1]),162 ft (49 m),81°,,,10
OzIris,Parc Astérix,7 April 2012,Steel – Inverted,Bolliger & Mabillard,131.2 ft (40.0 m),"3,280 ft (1,000 m)",56 mph (90 km/h),5,About 2:15,1600 riders per hour,About $14 million for the ride and about $9.5 million for the Egyptian themed area,114.8 ft (35.0 m),,,,9
Patriot,Worlds of Fun,"April 8, 2006; 15 years ago",Steel – Inverted,Bolliger & Mabillard,149 ft (45 m),"3,081 ft (939 m)",60 mph (97 km/h),4,2:18,1160 riders per hour,"US$14,000,000",123 ft (37 m),,,,63
Patriot,California's Great America,"March 9, 1991",Steel – Floorless Coaster,Bolliger & Mabillard,91 ft (28 m),"1,920 ft (590 m)",45 mph (72 km/h),2,2:14,1200 riders per hour,,,,,,57
Phantom's Revenge,Kennywood,"May 10, 1991",Steel,D. H. Morgan Manufacturing,160 ft (49 m),"3,200 ft (980 m)",85 mph (137 km/h),0,1:57,1400 riders per hour,$4.6 million,228 ft (69 m),52°,3.5,,312
Phoenix,Knoebels Amusement Resort,"June 15, 1985",Wood,Philadelphia Toboggan Coasters,78 ft (24 m),"3,200 ft (980 m)",45 mph (72 km/h),0,2:00,720 riders per hour,"$1,500,000",72 ft (22 m),,,,314
Polar X-plorer,Legoland Billund,29 April 2012,Steel,Zierer,20 m (66 ft),,65 km/h (40 mph),0,,,,,,,,52
Poltergeist,Six Flags Fiesta Texas,"May 28, 1999",Steel – Launched,Premier Rides,78.8 ft (24.0 m),"2,705 ft (824 m)",60 mph (97 km/h),4,1:15,,,,,4.5,,39
Pony Express,Knott's Berry Farm,"May 22, 2008",Steel – Motorbike – Launched,Zamperla,44 ft (13 m),"1,300 ft (400 m)",38 mph (61 km/h),,0:36,900 riders per hour,,,,,,61
Predator,Six Flags Darien Lake,"May 25, 1990",Wood – Out and back,Dinn Corporation,95 ft (29 m),"3,400 ft (1,000 m)",50 mph (80 km/h),0,1:50,1300 riders per hour,,,,,,281
Prowler,Worlds of Fun,"May 2, 2009",Wood,Great Coasters International,102.3 ft (31.2 m),"3,074 ft (937 m)",51.2 mph (82.4 km/h),0,2:30,850 riders per hour,$8 million,85.9 ft (26.2 m),,,,63
Pulsar,Walibi Belgium,4 June 2016,Steel – Launched – Shuttle,Mack Rides,45 m (148 ft),217 m (712 ft),101 km/h (63 mph),0,1:18,950 riders per hour,"€8,500,000",,90°,,,14
Python,Efteling,"April 12, 1981",Steel,Vekoma,29 m (95 ft),"750 m (2,460 ft)",75 km/h (47 mph),4,2:08,1400 riders per hour,"€ 9,4 million",22 m (72 ft),,3.5,,160
Pégase Express,Parc Astérix,"June 11, 2017; 4 years ago",Steel – Family – Launched,Gerstlauer,68.8 ft (21.0 m),"3,044.6 ft (928.0 m)",32.3 mph (52.0 km/h),0,3:00,1200 riders per hour,"€16,000,000",,,,,9
Racer,Kennywood,1927,Wood – Racing,Charlie Mach,72.5 ft (22.1 m),"4,500 ft (1,400 m)",40 mph (64 km/h),0,1:32,1400 riders per hour,"$75,000",50 ft (15 m),,,,312
Rage,Adventure Island,10 February 2007,Steel – Euro-Fighter,Gerstlauer,72 ft (22 m),"1,184 ft (361 m)",43.5 mph (70.0 km/h),3,0:50,,,,97°,4.5,,97
Raging Bull,Six Flags Great America,"May 1, 1999",Steel,Bolliger & Mabillard,202 ft (62 m),"5,057 ft (1,541 m)",73 mph (117 km/h),0,2:30,1560 riders per hour,"$25,000,000[1]",208 ft (63 m),65°,,,38
Raging Spirits,Tokyo DisneySea,21 July 2005,Steel,Intamin,,"600 m (2,000 ft)",60 km/h (37 mph),1,1:38,,¥8 billion,,,,,275
Raik,Phantasialand,30 June 2016,Steel – Shuttle,Vekoma,82 ft (25 m),689 ft (210 m),38.5 mph (62.0 km/h),0,,720 riders per hour,,,,,,56
RailBlazer,California's Great America,"June 14, 2018",Steel,Rocky Mountain Construction,106 ft (32 m),"1,800 ft (550 m)",52 mph (84 km/h),3,,600 riders per hour,,100 ft (30 m),90°,,,57
Raptor,Cedar Point,"May 7, 1994",Steel – Inverted,Bolliger & Mabillard,137 ft (42 m),"3,790 ft (1,160 m)",57 mph (92 km/h),6,2:16,"1,600 riders per hour","$11,500,000 - $12,000,000",119 ft (36 m),45°,,,50
Raptor,Gardaland,"April 1, 2011",Steel – Wing Coaster,Bolliger & Mabillard,108.3 ft (33.0 m),"2,526.3 ft (770.0 m)",90 km/h (56 mph),"3 (Corkscrew, Zero-G Roll, Inline Twist)",1 minute and 30 seconds,,,,65°,,,12
Rattlesnake,Chessington World of Adventures,1998,Steel – Wild Mouse,Maurer AG,49.25 ft (15.01 m),"1,213 ft (370 m)",28 mph (45 km/h),0,,550 riders per hour,,,,,,3
Red Force,Ferrari Land,7 April 2017,Steel – Launched,Intamin,112 m (367 ft),"880 m (2,890 ft)",180 km/h (112 mph),0,,1200 riders per hour,,,90°,,,277
Renegade,Valleyfair,"May 12, 2007",Wood,Great Coasters International,97.5 ft (29.7 m),"3,113 ft (949 m)",51.3 mph (82.6 km/h),0,2:00,850 riders per hour,"$6,500,000 USD",91.4 ft (27.9 m),66°,3.9,,68
Revolution,Blackpool Pleasure Beach,1979,Steel – Shuttle – Launched,Arrow Development,56 ft (17 m),635 ft (194 m),45 mph (72 km/h),2 (once forwards and once backwards),66,,"£1,000,000",47 ft (14 m),52°,4,,273
Revolution / Mount Mara,Bobbejaanland,"June 15, 1989",Steel – Indoor,Vekoma,28 m (92 ft),"765 m (2,510 ft)",50 km/h (31 mph),0,140 seconds,1200 riders per hour,,,,,,311
Ricochet,Carowinds,"March 23, 2002",Steel – Wild Mouse,Mack Rides,45.9 ft (14.0 m),"1,214 ft (370 m)",28 mph (45 km/h),0,1:50,,,,,,,59
Rita,Alton Towers,1 April 2005,Steel – Launched,Intamin,18.4 m (60 ft),"640 m (2,100 ft)",98.3 km/h (61.1 mph),0,0:25,1150[1] riders per hour,"£8,000,000",,,4.7,,1
River King Mine Train,Six Flags St. Louis,"June 5, 1971",Steel – Mine Train,Arrow Dynamics,32 ft (9.8 m),"2,500 ft (760 m)",37 mph (60 km/h),0,3:00,1800 riders per hour,,41 ft (12 m),,,,36
Road Runner Express,Six Flags Fiesta Texas,"May 1, 1997[1]",Steel – Mine Train,Arrow Dynamics,73 ft (22 m),"2,400 ft (730 m)",35 mph (56 km/h),0,2:24,1800 riders per hour,,67 ft (20 m),27°,3.0,,39
Road Runner Express,Six Flags Discovery Kingdom,1999,Steel,Zamperla,13 ft (4.0 m),262.5 ft (80.0 m),,0,,,,,,,,33
Rougarou,Cedar Point,"May 9, 2015",Steel – Floorless Coaster,Bolliger & Mabillard,145 ft (44 m),"3,900 ft (1,200 m)",60 mph (97 km/h),4,2:40,1800 riders per hour,"US$12,000,000",137 ft (42 m),52°,,,50
Runaway Mine Train,Six Flags Over Texas,"July 23, 1966",Steel,Arrow Development,35 ft (11 m),"2,400 ft (730 m)",35[1] mph (56 km/h),0,3:10,2010 riders per hour,"$1,000,000",,,,,34
Runaway Mine Train,Alton Towers,21 March 1992,Steel – Powered – Mine Train,Mack Rides,36 ft (11 m),"1,000 ft (300 m)",22.4 mph (36.0 km/h),0,1:50,1062 riders per hour,"£1,000,000",36 ft (11 m),29°,2.4,,1
