Show Name,Season,Day of Week,Air Date,Episode,18-49 Demo,Viewers (millions)
flatbush misdemeanors,1,Sun,2021-05-23,01-01,0.01,0.080
flatbush misdemeanors,1,Sun,2021-05-30,01-02,0.04,0.130
flatbush misdemeanors,1,Sun,2021-06-06,01-03,0.01,0.088
flatbush misdemeanors,1,Sun,2021-06-13,01-04,0.01,0.050
flatbush misdemeanors,1,Sun,2021-06-20,01-05,0.01,0.060
flatbush misdemeanors,1,Sun,2021-06-27,01-06,0.02,0.054
flatbush misdemeanors,1,Sun,2021-07-11,01-07,0.01,0.049
flatbush misdemeanors,1,Sun,2021-07-18,01-08,0.00,0.060
flatbush misdemeanors,1,Sun,2021-07-25,01-09,0.02,0.055
flatbush misdemeanors,1,Sun,2021-08-01,01-10,0.02,0.060
chesapeake shores,6,Sun,2022-08-14,06-01,0.13,1.471
chesapeake shores,6,Sun,2022-08-21,06-02,0.11,1.387
chesapeake shores,6,Sun,2022-08-28,06-03,0.12,1.366
chesapeake shores,6,Sun,2022-09-04,06-04,0.11,1.355
chesapeake shores,6,Sun,2022-09-11,06-05,0.12,1.350
chesapeake shores,6,Sun,2022-09-18,06-06,0.11,1.319
chesapeake shores,6,Sun,2022-09-25,06-07,0.12,1.452
chesapeake shores,6,Sun,2022-10-02,06-08,0.11,1.453
chesapeake shores,6,Sun,2022-10-09,06-09,0.15,1.595
chesapeake shores,6,Sun,2022-10-16,06-10,0.19,1.909
life pieces,3,Thurs,2017-11-02,03-01,1.22,6.668
life pieces,3,Thurs,2017-11-09,03-02,1.18,6.529
life pieces,3,Thurs,2017-11-16,03-03,1.12,6.374
life pieces,3,Thurs,2017-11-23,03-04,1.28,5.932
life pieces,3,Thurs,2017-11-30,03-05,1.08,6.573
life pieces,3,Thurs,2017-12-07,03-06,1.08,6.490
life pieces,3,Thurs,2017-12-14,03-07,1.11,6.648
life pieces,3,Thurs,2017-12-21,03-08,1.07,6.715
life pieces,3,Thurs,2018-01-04,03-09,1.33,7.427
life pieces,3,Thurs,2018-01-11,03-10,1.23,7.184
life pieces,3,Thurs,2018-01-18,03-11,1.20,6.785
life pieces,3,Thurs,2018-02-01,03-12,1.23,7.109
life pieces,3,Thurs,2018-03-01,03-13,1.11,6.494
life pieces,3,Thurs,2018-03-08,03-14,1.19,6.716
life pieces,3,Thurs,2018-03-29,03-15,0.99,6.125
life pieces,3,Thurs,2018-04-05,03-16,0.93,6.094
life pieces,3,Thurs,2018-04-12,03-17,1.11,6.477
life pieces,3,Thurs,2018-04-19,03-18,1.00,6.292
life pieces,3,Thurs,2018-04-26,03-19,1.00,6.222
life pieces,3,Thurs,2018-05-03,03-20,1.00,6.245
life pieces,3,Thurs,2018-05-17,03-21,1.00,5.561
life pieces,3,Thurs,2018-05-17,03-22,0.90,4.949
the simpsons,32,Sun,2020-09-27,32-01,1.70,4.438
the simpsons,32,Sun,2020-10-04,32-02,0.50,1.511
the simpsons,32,Sun,2020-10-11,32-03,0.50,1.363
the simpsons,32,Sun,2020-11-01,32-04,1.70,4.928
the simpsons,32,Sun,2020-11-08,32-05,0.70,1.737
the simpsons,32,Sun,2020-11-15,32-06,1.29,3.501
the simpsons,32,Sun,2020-11-22,32-07,1.50,4.405
the simpsons,32,Sun,2020-11-29,32-08,0.60,1.628
the simpsons,32,Sun,2020-12-06,32-09,0.60,1.657
the simpsons,32,Sun,2020-12-13,32-10,1.30,3.924
the simpsons,32,Sun,2021-01-03,32-11,0.58,1.888
the simpsons,32,Sun,2021-02-21,32-12,0.49,1.426
the simpsons,32,Sun,2021-02-28,32-13,0.39,1.240
the simpsons,32,Sun,2021-03-07,32-14,0.45,1.375
the simpsons,32,Sun,2021-03-14,32-15,0.47,1.434
the simpsons,32,Sun,2021-03-21,32-16,0.41,1.278
the simpsons,32,Sun,2021-03-28,32-17,0.41,1.217
the simpsons,32,Sun,2021-04-11,32-18,0.44,1.241
the simpsons,32,Sun,2021-04-18,32-19,0.41,1.311
the simpsons,32,Sun,2021-05-09,32-20,0.34,1.114
the simpsons,32,Sun,2021-05-16,32-21,0.38,1.057
the simpsons,32,Sun,2021-05-23,32-22,0.35,1.020
the bachelor,26,Mon,2022-01-03,26-01,0.84,3.540
the bachelor,26,Mon,2022-01-10,26-02,0.73,3.187
the bachelor,26,Mon,2022-01-24,26-03,0.77,3.607
the bachelor,26,Mon,2022-01-31,26-04,0.78,3.537
the bachelor,26,Mon,2022-02-07,26-05,0.66,3.143
the bachelor,26,Mon,2022-02-14,26-06,0.65,3.253
the bachelor,26,Mon,2022-02-21,26-07,0.67,3.489
the bachelor,26,Mon,2022-02-28,26-08,0.77,3.714
the bachelor,26,Mon,2022-03-07,26-09,0.86,3.634
the bachelor,26,Tues,2022-03-08,26-10,0.76,3.504
the bachelor,26,Mon,2022-03-14,26-11,1.11,4.574
the bachelor,26,Tues,2022-03-15,26-12,1.09,4.730
florida girls,1,Weds,2019-07-10,01-01,0.04,0.079
florida girls,1,Weds,2019-07-10,01-02,0.04,0.071
florida girls,1,Weds,2019-07-17,01-03,0.02,0.046
florida girls,1,Weds,2019-07-17,01-04,0.02,0.045
florida girls,1,Weds,2019-07-24,01-05,0.01,0.064
florida girls,1,Weds,2019-07-24,01-06,0.01,0.052
florida girls,1,Weds,2019-07-31,01-07,0.04,0.092
florida girls,1,Weds,2019-07-31,01-08,0.04,0.088
florida girls,1,Weds,2019-08-07,01-09,0.02,0.083
florida girls,1,Weds,2019-08-07,01-10,0.02,0.071
transplant,1,Tues,2020-09-01,01-01,0.43,3.958
transplant,1,Tues,2020-09-08,01-02,0.40,3.695
transplant,1,Tues,2020-09-15,01-03,0.50,3.630
transplant,1,Tues,2020-09-22,01-04,0.50,3.816
transplant,1,Tues,2020-10-06,01-05,0.40,3.259
transplant,1,Tues,2020-10-13,01-06,0.30,2.869
transplant,1,Tues,2020-10-20,01-07,0.60,4.341
transplant,1,Tues,2020-11-10,01-08,0.50,3.941
transplant,1,Tues,2020-11-17,01-09,0.42,3.432
transplant,1,Tues,2020-11-24,01-10,0.40,2.982
transplant,1,Tues,2020-12-01,01-11,0.45,3.100
transplant,1,Tues,2020-12-08,01-12,0.40,3.504
transplant,1,Tues,2020-12-08,01-13,0.36,2.999
the great north,1,Sun,2021-01-03,01-01,0.69,2.339
the great north,1,Sun,2021-01-17,01-02,2.13,6.101
the great north,1,Sun,2021-02-21,01-03,0.43,1.160
the great north,1,Sun,2021-02-28,01-04,0.32,0.971
the great north,1,Sun,2021-03-07,01-05,0.39,1.045
the great north,1,Sun,2021-03-14,01-06,0.41,1.124
the great north,1,Sun,2021-03-21,01-07,0.35,0.922
the great north,1,Sun,2021-04-11,01-08,0.37,1.027
the great north,1,Sun,2021-04-18,01-09,0.32,0.938
the great north,1,Sun,2021-05-09,01-10,0.30,0.835
the great north,1,Sun,2021-05-16,01-11,0.30,0.812
legends of the hidden temple,1,Sun,2021-10-10,01-01,0.07,0.251
legends of the hidden temple,1,Sun,2021-10-17,01-02,0.05,0.236
legends of the hidden temple,1,Sun,2021-10-24,01-03,0.08,0.290
legends of the hidden temple,1,Sun,2021-10-31,01-04,0.05,0.193
legends of the hidden temple,1,Sun,2021-11-07,01-05,0.06,0.242
legends of the hidden temple,1,Sun,2021-11-14,01-06,0.06,0.234
legends of the hidden temple,1,Sun,2021-11-21,01-07,0.04,0.202
legends of the hidden temple,1,Sun,2021-12-05,01-08,0.06,0.202
legends of the hidden temple,1,Sun,2021-12-12,01-09,0.06,0.180
legends of the hidden temple,1,Sun,2021-12-19,01-10,0.05,0.234
legends of the hidden temple,1,Sun,2022-01-09,01-11,0.04,0.180
legends of the hidden temple,1,Sun,2022-01-16,01-12,0.07,0.224
legends of the hidden temple,1,Sun,2022-01-23,01-13,0.05,0.214
the flash,7,Tues,2021-03-02,07-01,0.30,0.998
the flash,7,Tues,2021-03-09,07-02,0.29,0.989
the flash,7,Tues,2021-03-16,07-03,0.22,0.982
the flash,7,Tues,2021-03-23,07-04,0.23,0.979
the flash,7,Tues,2021-03-30,07-05,0.21,0.909
the flash,7,Tues,2021-04-06,07-06,0.26,0.965
the flash,7,Tues,2021-04-13,07-07,0.28,0.886
the flash,7,Tues,2021-05-04,07-08,0.21,0.736
the flash,7,Tues,2021-05-11,07-09,0.22,0.742
the flash,7,Tues,2021-05-18,07-10,0.17,0.671
the flash,7,Tues,2021-05-25,07-11,0.14,0.641
the flash,7,Tues,2021-06-08,07-12,0.20,0.741
the flash,7,Tues,2021-06-15,07-13,0.17,0.759
the flash,7,Tues,2021-06-22,07-14,0.19,0.787
the flash,7,Tues,2021-06-29,07-15,0.18,0.769
the flash,7,Tues,2021-07-06,07-16,0.17,0.766
the flash,7,Tues,2021-07-13,07-17,0.17,0.745
the flash,7,Tues,2021-07-20,07-18,0.16,0.702
spartan ultimate team challenge,2,Mon,2017-06-12,02-01,0.90,3.454
spartan ultimate team challenge,2,Mon,2017-06-19,02-02,1.20,4.471
spartan ultimate team challenge,2,Mon,2017-06-26,02-03,1.00,3.671
spartan ultimate team challenge,2,Mon,2017-07-03,02-04,0.80,3.453
spartan ultimate team challenge,2,Mon,2017-07-10,02-05,1.00,3.903
spartan ultimate team challenge,2,Mon,2017-07-17,02-06,1.00,3.752
spartan ultimate team challenge,2,Sun,2017-07-23,02-07,0.50,2.189
spartan ultimate team challenge,2,Sun,2017-07-23,02-08,0.50,2.189
fargo,4,Sun,2020-09-27,04-01,0.21,1.224
fargo,4,Sun,2020-09-27,04-02,0.13,0.788
fargo,4,Sun,2020-10-04,04-03,0.12,0.719
fargo,4,Sun,2020-10-11,04-04,0.13,0.764
fargo,4,Sun,2020-10-18,04-05,0.19,0.738
fargo,4,Sun,2020-10-25,04-06,0.12,0.703
fargo,4,Sun,2020-11-01,04-07,0.14,0.649
fargo,4,Sun,2020-11-08,04-08,0.15,0.701
fargo,4,Sun,2020-11-15,04-09,0.13,0.824
fargo,4,Sun,2020-11-22,04-10,0.18,0.805
fargo,4,Sun,2020-11-29,04-11,0.17,0.851
vida,2,Sun,2019-05-26,02-01,0.03,0.135
vida,2,Sun,2019-05-26,02-02,0.01,0.107
vida,2,Sun,2019-06-02,02-03,0.03,0.140
vida,2,Sun,2019-06-02,02-04,0.02,0.128
vida,2,Sun,2019-06-09,02-05,0.02,0.112
vida,2,Sun,2019-06-09,02-06,0.02,0.108
vida,2,Sun,2019-06-16,02-07,0.03,0.103
vida,2,Sun,2019-06-16,02-08,0.04,0.132
vida,2,Sun,2019-06-23,02-09,0.03,0.112
vida,2,Sun,2019-06-23,02-10,0.02,0.121
batwoman,3,Weds,2021-10-13,03-01,0.08,0.469
batwoman,3,Weds,2021-10-20,03-02,0.08,0.487
batwoman,3,Weds,2021-10-27,03-03,0.07,0.417
batwoman,3,Weds,2021-11-03,03-04,0.09,0.524
batwoman,3,Weds,2021-11-10,03-05,0.08,0.372
batwoman,3,Weds,2021-11-17,03-06,0.08,0.409
batwoman,3,Weds,2021-11-25,03-07,0.09,0.464
batwoman,3,Weds,2022-01-12,03-08,0.08,0.523
batwoman,3,Weds,2022-01-19,03-09,0.07,0.443
batwoman,3,Weds,2022-01-26,03-10,0.10,0.477
batwoman,3,Weds,2022-02-02,03-11,0.12,0.542
batwoman,3,Weds,2022-02-23,03-12,0.11,0.408
batwoman,3,Weds,2022-03-02,03-13,0.07,0.415
hypnotize me,1,Weds,2019-08-07,01-01,0.13,0.556
hypnotize me,1,Weds,2019-08-14,01-02,0.11,0.498
hypnotize me,1,Weds,2019-08-21,01-03,0.15,0.712
hypnotize me,1,Weds,2019-08-28,01-04,0.10,0.505
hypnotize me,1,Weds,2019-09-04,01-05,0.14,0.557
hypnotize me,1,Weds,2019-09-11,01-06,0.15,0.577
hypnotize me,1,Weds,2019-09-18,01-07,0.11,0.415
hypnotize me,1,Weds,2019-09-25,01-08,0.10,0.421
the chosen,1,Sun,2023-07-16,01-01,0.06,0.459
the chosen,1,Sun,2023-07-23,01-02,0.05,0.454
the chosen,1,Sun,2023-07-30,01-03,0.04,0.446
the chosen,1,Sun,2023-08-06,01-04,0.04,0.418
the chosen,1,Sun,2023-08-13,01-05,0.04,0.413
the chosen,1,Sun,2023-08-20,01-06,0.06,0.463
the chosen,1,Sun,2023-08-27,01-07,0.07,0.421
the chosen,1,Sun,2023-09-03,01-08,0.02,0.425
walker,3,Thurs,2022-10-06,03-01,0.08,0.760
walker,3,Thurs,2022-10-13,03-02,0.07,0.673
walker,3,Thurs,2022-10-20,03-03,0.08,0.694
walker,3,Thurs,2022-10-27,03-04,0.07,0.801
walker,3,Thurs,2022-11-03,03-05,0.10,0.744
walker,3,Thurs,2022-11-10,03-06,0.08,0.769
walker,3,Thurs,2022-11-17,03-07,0.12,0.796
walker,3,Thurs,2023-01-12,03-08,0.13,0.739
walker,3,Thurs,2023-01-19,03-09,0.10,0.763
walker,3,Thurs,2023-01-26,03-10,0.10,0.757
walker,3,Thurs,2023-02-16,03-11,0.09,0.817
walker,3,Thurs,2023-02-23,03-12,0.08,0.673
walker,3,Thurs,2023-03-02,03-13,0.06,0.619
walker,3,Thurs,2023-03-23,03-14,0.09,0.672
walker,3,Thurs,2023-03-30,03-15,0.09,0.596
walker,3,Thurs,2023-04-27,03-16,0.07,0.542
walker,3,Thurs,2023-05-04,03-17,0.08,0.505
walker,3,Thurs,2023-05-11,03-18,0.07,0.500
songland,2,Mon,2020-04-13,02-01,0.84,4.543
songland,2,Mon,2020-04-20,02-02,0.84,4.138
songland,2,Mon,2020-04-27,02-03,0.59,3.303
songland,2,Mon,2020-05-04,02-04,0.62,3.650
songland,2,Mon,2020-05-11,02-05,0.64,3.493
songland,2,Mon,2020-05-18,02-06,0.65,3.819
songland,2,Mon,2020-05-25,02-07,0.47,2.276
songland,2,Mon,2020-06-01,02-08,0.54,2.671
songland,2,Mon,2020-06-08,02-09,0.47,2.344
songland,2,Mon,2020-06-15,02-10,0.50,2.421
will,1,Mon,2017-07-10,01-01,0.16,0.633
will,1,Mon,2017-07-10,01-02,0.09,0.477
will,1,Mon,2017-07-17,01-03,0.16,0.471
will,1,Mon,2017-07-24,01-04,0.10,0.368
will,1,Mon,2017-07-31,01-05,0.10,0.300
will,1,Mon,2017-08-07,01-06,0.13,0.364
will,1,Mon,2017-08-14,01-07,0.08,0.305
will,1,Mon,2017-08-21,01-08,0.08,0.291
will,1,Mon,2017-08-28,01-09,0.10,0.315
will,1,Mon,2017-09-04,01-10,0.09,0.307
billions,5,Sun,2020-05-03,05-01,0.14,0.610
billions,5,Sun,2020-05-10,05-02,0.12,0.633
billions,5,Sun,2020-05-17,05-03,0.09,0.568
billions,5,Sun,2020-05-24,05-04,0.09,0.625
billions,5,Sun,2020-05-31,05-05,0.08,0.519
billions,5,Sun,2020-06-07,05-06,0.11,0.647
billions,5,Sun,2020-06-14,05-07,0.12,0.660
billions,5,Sun,2021-09-05,05-08,0.02,0.192
billions,5,Sun,2021-09-12,05-09,0.04,0.392
billions,5,Sun,2021-09-19,05-10,0.03,0.318
billions,5,Sun,2021-09-26,05-11,0.06,0.331
billions,5,Sun,2021-10-03,05-12,0.05,0.394
shooter,3,Thurs,2018-06-21,03-01,0.27,0.924
shooter,3,Thurs,2018-06-28,03-02,0.19,0.718
shooter,3,Thurs,2018-07-05,03-03,0.17,0.715
shooter,3,Thurs,2018-07-12,03-04,0.21,0.766
shooter,3,Thurs,2018-07-19,03-05,0.19,0.694
shooter,3,Thurs,2018-07-26,03-06,0.15,0.673
shooter,3,Thurs,2018-08-02,03-07,0.17,0.699
shooter,3,Thurs,2018-08-09,03-08,0.18,0.712
shooter,3,Thurs,2018-08-16,03-09,0.22,0.788
shooter,3,Thurs,2018-08-23,03-10,0.17,0.700
shooter,3,Thurs,2018-08-30,03-11,0.18,0.729
shooter,3,Thurs,2018-09-06,03-12,0.13,0.593
shooter,3,Thurs,2018-09-13,03-13,0.17,0.785
evil,1,Thurs,2019-09-26,01-01,0.64,4.558
evil,1,Thurs,2019-10-03,01-02,0.58,4.200
evil,1,Thurs,2019-10-10,01-03,0.56,3.671
evil,1,Thurs,2019-10-17,01-04,0.66,3.741
evil,1,Thurs,2019-10-24,01-05,0.54,3.480
evil,1,Thurs,2019-11-07,01-06,0.51,3.496
evil,1,Thurs,2019-11-14,01-07,0.50,3.317
evil,1,Thurs,2019-11-21,01-08,0.53,3.426
evil,1,Thurs,2019-12-05,01-09,0.47,3.342
evil,1,Thurs,2019-12-12,01-10,0.51,3.610
evil,1,Thurs,2020-01-09,01-11,0.42,3.097
evil,1,Thurs,2020-01-16,01-12,0.44,3.286
evil,1,Thurs,2020-01-30,01-13,0.46,3.118
strike back,7,Fri,2019-01-25,07-01,0.03,0.113
strike back,7,Fri,2019-02-01,07-02,0.02,0.113
strike back,7,Fri,2019-02-08,07-03,0.01,0.060
strike back,7,Fri,2019-02-15,07-04,0.02,0.114
strike back,7,Fri,2019-02-22,07-05,0.03,0.090
strike back,7,Fri,2019-03-01,07-06,0.02,0.096
strike back,7,Fri,2019-03-08,07-07,0.03,0.121
strike back,7,Fri,2019-03-15,07-08,0.03,0.127
strike back,7,Fri,2019-03-22,07-09,0.01,0.100
strike back,7,Fri,2019-03-29,07-10,0.03,0.133
name that tune,1,Weds,2021-01-06,01-01,0.72,3.058
name that tune,1,Weds,2021-01-13,01-02,0.70,3.011
name that tune,1,Weds,2021-01-20,01-03,0.63,2.710
name that tune,1,Weds,2021-01-27,01-04,0.59,2.665
name that tune,1,Weds,2021-02-03,01-05,0.48,2.344
name that tune,1,Weds,2021-02-10,01-06,0.52,2.428
name that tune,1,Weds,2021-02-24,01-07,0.54,2.522
name that tune,1,Weds,2021-02-24,01-08,0.60,2.671
name that tune,1,Weds,2021-03-03,01-09,0.56,2.552
name that tune,1,Weds,2021-03-03,01-10,0.59,2.820
mysteries decoded,1,Thurs,2019-01-10,01-01,0.18,0.934
mysteries decoded,1,Tues,2019-08-13,01-02,0.10,0.477
mysteries decoded,1,Tues,2019-08-20,01-03,0.14,0.606
mysteries decoded,1,Tues,2019-08-27,01-04,0.16,0.573
mysteries decoded,1,Tues,2019-09-10,01-05,0.11,0.587
mysteries decoded,1,Tues,2019-09-17,01-06,0.12,0.486
mysteries decoded,1,Tues,2019-09-24,01-07,0.12,0.480
mysteries decoded,1,Sun,2019-09-29,01-08,0.09,0.513
mysteries decoded,1,Thurs,2019-10-31,01-09,0.13,0.579
alert missing persons unit,2,Tues,2024-03-05,02-01,0.18,1.537
alert missing persons unit,2,Tues,2024-03-12,02-02,0.17,1.221
alert missing persons unit,2,Tues,2024-03-19,02-03,0.14,1.168
9 1 1 lone star,3,Mon,2022-01-03,03-01,0.76,5.503
9 1 1 lone star,3,Mon,2022-01-10,03-02,0.65,5.025
9 1 1 lone star,3,Mon,2022-01-24,03-03,0.71,5.388
9 1 1 lone star,3,Mon,2022-01-31,03-04,0.79,6.005
9 1 1 lone star,3,Mon,2022-02-07,03-05,0.66,5.177
9 1 1 lone star,3,Mon,2022-02-14,03-06,0.62,4.953
9 1 1 lone star,3,Mon,2022-02-21,03-07,0.58,5.125
9 1 1 lone star,3,Mon,2022-02-28,03-08,0.63,4.823
9 1 1 lone star,3,Mon,2022-03-07,03-09,0.66,5.162
9 1 1 lone star,3,Mon,2022-03-14,03-10,0.55,4.640
9 1 1 lone star,3,Mon,2022-03-21,03-11,0.57,4.449
9 1 1 lone star,3,Mon,2022-03-28,03-12,0.50,3.854
9 1 1 lone star,3,Mon,2022-04-11,03-13,0.45,4.243
9 1 1 lone star,3,Mon,2022-04-18,03-14,0.58,4.208
9 1 1 lone star,3,Mon,2022-04-25,03-15,0.62,4.563
9 1 1 lone star,3,Mon,2022-05-02,03-16,0.51,4.268
9 1 1 lone star,3,Mon,2022-05-09,03-17,0.64,4.801
9 1 1 lone star,3,Mon,2022-05-16,03-18,0.62,4.634
celebrity family feud,2,Sun,2016-06-26,02-01,1.60,7.976
celebrity family feud,2,Sun,2016-07-03,02-02,1.10,6.299
celebrity family feud,2,Sun,2016-07-10,02-03,1.50,7.428
celebrity family feud,2,Sun,2016-07-17,02-04,1.60,7.768
celebrity family feud,2,Sun,2016-07-24,02-05,1.50,7.677
celebrity family feud,2,Sun,2016-07-31,02-06,1.50,7.302
celebrity family feud,2,Sun,2016-08-14,02-07,1.00,5.050
celebrity family feud,2,Sun,2016-08-21,02-08,1.20,5.628
celebrity family feud,2,Sun,2016-08-28,02-09,1.00,5.739
celebrity family feud,2,Sun,2016-09-11,02-10,1.30,6.666
greys anatomy,16,Thurs,2019-09-26,16-01,1.51,6.507
greys anatomy,16,Thurs,2019-10-03,16-02,1.31,6.007
greys anatomy,16,Thurs,2019-10-10,16-03,1.37,6.088
greys anatomy,16,Thurs,2019-10-17,16-04,1.21,5.748
greys anatomy,16,Thurs,2019-10-24,16-05,1.35,6.104
greys anatomy,16,Thurs,2019-10-31,16-06,1.07,5.664
greys anatomy,16,Thurs,2019-11-07,16-07,1.26,6.160
greys anatomy,16,Thurs,2019-11-14,16-08,1.31,6.337
greys anatomy,16,Thurs,2019-11-21,16-09,1.36,6.404
greys anatomy,16,Thurs,2020-01-23,16-10,1.42,6.664
greys anatomy,16,Thurs,2020-01-30,16-11,1.09,5.555
greys anatomy,16,Thurs,2020-02-06,16-12,1.09,5.484
greys anatomy,16,Thurs,2020-02-13,16-13,1.05,5.579
greys anatomy,16,Thurs,2020-02-20,16-14,1.06,6.040
greys anatomy,16,Thurs,2020-02-27,16-15,1.12,6.004
greys anatomy,16,Thurs,2020-03-05,16-16,1.31,6.298
greys anatomy,16,Thurs,2020-03-12,16-17,1.24,6.273
greys anatomy,16,Thurs,2020-03-19,16-18,1.50,7.042
greys anatomy,16,Thurs,2020-03-26,16-19,1.35,6.517
greys anatomy,16,Thurs,2020-04-02,16-20,1.39,7.182
greys anatomy,16,Thurs,2020-04-09,16-21,1.43,7.333
the way home,2,Sun,2024-01-21,02-01,0.08,1.245
the way home,2,Sun,2024-01-28,02-02,0.08,1.161
the way home,2,Sun,2024-02-04,02-03,0.09,1.193
the way home,2,Sun,2024-02-18,02-04,0.11,1.030
the way home,2,Sun,2024-02-25,02-05,0.09,1.140
the way home,2,Sun,2024-03-03,02-06,0.09,1.240
the way home,2,Sun,2024-03-10,02-07,0.06,1.083
the way home,2,Sun,2024-03-17,02-08,0.08,1.106
power book ii ghost,2,Sun,2021-11-21,02-01,0.14,0.518
power book ii ghost,2,Sun,2021-11-28,02-02,0.15,0.526
power book ii ghost,2,Sun,2021-12-05,02-03,0.12,0.477
power book ii ghost,2,Sun,2021-12-12,02-04,0.12,0.423
power book ii ghost,2,Sun,2021-12-19,02-05,0.10,0.449
power book ii ghost,2,Sun,2022-01-09,02-06,0.14,0.555
power book ii ghost,2,Sun,2022-01-16,02-07,0.17,0.522
power book ii ghost,2,Sun,2022-01-23,02-08,0.18,0.566
power book ii ghost,2,Sun,2022-01-30,02-09,0.14,0.533
power book ii ghost,2,Sun,2022-02-06,02-10,0.27,0.801
snowfall,2,Thurs,2018-07-19,02-01,0.48,1.163
snowfall,2,Thurs,2018-07-26,02-02,0.39,0.888
snowfall,2,Thurs,2018-08-02,02-03,0.41,0.930
snowfall,2,Thurs,2018-08-09,02-04,0.40,0.975
snowfall,2,Thurs,2018-08-16,02-05,0.39,0.923
snowfall,2,Thurs,2018-08-23,02-06,0.36,0.822
snowfall,2,Thurs,2018-08-30,02-07,0.35,0.815
snowfall,2,Thurs,2018-09-06,02-08,0.31,0.752
snowfall,2,Thurs,2018-09-13,02-09,0.36,0.855
snowfall,2,Thurs,2018-09-20,02-10,0.34,0.783
speechless,2,Weds,2017-09-27,02-01,1.44,5.034
speechless,2,Weds,2017-10-04,02-02,1.28,4.548
speechless,2,Weds,2017-10-11,02-03,1.15,4.315
speechless,2,Weds,2017-10-18,02-04,1.09,4.364
speechless,2,Weds,2017-10-25,02-05,1.08,4.158
speechless,2,Weds,2017-11-01,02-06,0.98,3.860
speechless,2,Weds,2017-11-15,02-07,1.14,4.413
speechless,2,Weds,2017-11-29,02-08,1.06,4.203
speechless,2,Weds,2017-12-06,02-09,1.11,4.253
speechless,2,Weds,2017-12-13,02-10,1.16,4.560
speechless,2,Weds,2018-01-03,02-11,1.11,4.372
speechless,2,Weds,2018-01-10,02-12,1.15,4.470
speechless,2,Weds,2018-01-17,02-13,1.29,4.806
speechless,2,Weds,2018-02-28,02-14,1.06,4.114
speechless,2,Weds,2018-03-07,02-15,1.17,4.437
speechless,2,Weds,2018-03-14,02-16,0.92,3.943
speechless,2,Weds,2018-03-14,02-17,0.91,3.545
speechless,2,Weds,2018-03-21,02-18,1.25,4.598
f word,1,Weds,2017-05-31,01-01,1.00,3.332
f word,1,Weds,2017-06-07,01-02,0.70,2.367
f word,1,Weds,2017-06-14,01-03,0.80,2.346
f word,1,Weds,2017-06-21,01-04,0.70,2.054
f word,1,Weds,2017-06-28,01-05,0.60,2.049
f word,1,Weds,2017-07-12,01-06,0.60,1.922
f word,1,Weds,2017-07-19,01-07,0.70,1.951
f word,1,Weds,2017-07-26,01-08,0.60,1.805
f word,1,Weds,2017-08-02,01-09,0.60,1.830
f word,1,Weds,2017-08-09,01-10,0.50,1.468
f word,1,Weds,2017-08-16,01-11,0.50,1.662
la brea,3,Tues,2024-01-09,03-01,0.20,2.415
la brea,3,Tues,2024-01-16,03-02,0.19,2.175
la brea,3,Tues,2024-01-23,03-03,0.20,2.142
la brea,3,Tues,2024-01-30,03-04,0.18,2.151
la brea,3,Tues,2024-02-06,03-05,0.17,2.059
la brea,3,Tues,2024-02-13,03-06,0.19,2.034
high maintenance,4,Fri,2020-02-07,04-01,0.06,0.276
high maintenance,4,Fri,2020-02-14,04-02,0.06,0.239
high maintenance,4,Fri,2020-02-21,04-03,0.05,0.194
high maintenance,4,Fri,2020-02-28,04-04,0.06,0.274
high maintenance,4,Fri,2020-03-06,04-05,0.06,0.224
high maintenance,4,Fri,2020-03-13,04-06,0.05,0.278
high maintenance,4,Fri,2020-03-20,04-07,0.03,0.166
high maintenance,4,Fri,2020-03-27,04-08,0.03,0.119
high maintenance,4,Fri,2020-04-03,04-09,0.04,0.243
dirty john,1,Sun,2018-11-25,01-01,0.36,1.219
dirty john,1,Sun,2018-12-02,01-02,0.39,1.234
dirty john,1,Sun,2018-12-09,01-03,0.40,1.279
dirty john,1,Sun,2018-12-16,01-04,0.30,1.138
dirty john,1,Sun,2018-12-23,01-05,0.29,1.041
dirty john,1,Sun,2018-12-30,01-06,0.39,1.369
dirty john,1,Sun,2019-01-06,01-07,0.43,1.491
dirty john,1,Sun,2019-01-13,01-08,0.59,1.839
better call saul,2,Mon,2016-02-15,02-01,1.06,2.573
better call saul,2,Mon,2016-02-22,02-02,0.98,2.228
better call saul,2,Mon,2016-02-29,02-03,0.99,2.201
better call saul,2,Mon,2016-03-07,02-04,0.94,2.199
better call saul,2,Mon,2016-03-14,02-05,0.81,1.992
better call saul,2,Mon,2016-03-21,02-06,0.87,2.105
better call saul,2,Mon,2016-03-28,02-07,0.78,2.031
better call saul,2,Mon,2016-04-04,02-08,0.81,1.930
better call saul,2,Mon,2016-04-11,02-09,0.82,2.059
better call saul,2,Mon,2016-04-18,02-10,0.85,2.263
family food fight,1,Thurs,2019-06-20,01-01,0.59,2.853
family food fight,1,Thurs,2019-06-27,01-02,0.58,2.523
family food fight,1,Thurs,2019-07-11,01-03,0.50,2.347
family food fight,1,Thurs,2019-07-18,01-04,0.32,1.736
family food fight,1,Thurs,2019-07-25,01-05,0.36,1.869
family food fight,1,Thurs,2019-08-01,01-06,0.38,1.807
family food fight,1,Thurs,2019-08-08,01-07,0.30,1.363
family food fight,1,Thurs,2019-08-15,01-08,0.28,1.582
