county_fips,state_po,x,n,y,population_group
13191,GA,2011,7918,-18,tiny
13193,GA,2011,8641,-18,tiny
13195,GA,2011,21019,-196,small
13197,GA,2011,5243,26,tiny
13199,GA,2011,15897,-114,small
13201,GA,2011,3934,5,tiny
13205,GA,2011,16027,-36,small
13207,GA,2011,19728,174,small
13209,GA,2011,5546,-53,tiny
13211,GA,2011,14443,24,small
13213,GA,2011,29388,-17,small
13215,GA,2011,145793,-439,large
13217,GA,2011,74292,650,medium
13219,GA,2011,28135,64,small
13221,GA,2011,10273,-3,small
13223,GA,2011,109382,631,large
13225,GA,2011,18705,82,small
13227,GA,2011,23428,65,small
13229,GA,2011,13992,38,small
13231,GA,2011,13576,22,small
13233,GA,2011,31607,-87,small
13235,GA,2011,6911,-11,tiny
13237,GA,2011,15614,75,small
13239,GA,2011,1577,-4,tiny
13241,GA,2011,12361,31,small
13243,GA,2011,5104,-51,tiny
13245,GA,2011,139859,-614,large
13247,GA,2011,63260,200,medium
13249,GA,2011,3288,31,tiny
13251,GA,2011,10093,-7,small
13253,GA,2011,6495,15,tiny
13255,GA,2011,46608,-330,small
13257,GA,2011,18262,-87,small
13259,GA,2011,3118,13,tiny
13261,GA,2011,23210,-173,small
13263,GA,2011,4599,-61,tiny
13265,GA,2011,1059,21,tiny
13267,GA,2011,14307,54,small
13269,GA,2011,6046,-12,tiny
13271,GA,2011,7614,-3,tiny
13273,GA,2011,7625,-36,tiny
13275,GA,2011,33866,-1,small
13277,GA,2011,30444,-143,small
13279,GA,2011,20089,7,small
13281,GA,2011,7552,15,tiny
13283,GA,2011,4350,-7,tiny
13285,GA,2011,52267,124,medium
13287,GA,2011,6677,-159,tiny
13289,GA,2011,6291,17,tiny
13291,GA,2011,15363,77,small
13293,GA,2011,19567,-31,small
13295,GA,2011,46294,6,small
13297,GA,2011,63936,-92,medium
13299,GA,2011,24605,1,small
13301,GA,2011,4047,-44,tiny
13303,GA,2011,15245,-65,small
13305,GA,2011,20272,35,small
13307,GA,2011,1747,15,tiny
13309,GA,2011,3300,-13,tiny
13311,GA,2011,18538,42,small
13313,GA,2011,89283,-118,medium
13315,GA,2011,5101,30,tiny
13317,GA,2011,7589,-25,tiny
13319,GA,2011,7626,-17,tiny
13321,GA,2011,15478,127,small
19001,IA,2011,5990,16,tiny
19003,IA,2011,3246,-14,tiny
19005,IA,2011,12234,6,small
19007,IA,2011,9740,-33,tiny
19009,IA,2011,4950,-6,tiny
19011,IA,2011,21905,-27,small
19013,IA,2011,97653,-292,medium
19015,IA,2011,21204,57,small
19017,IA,2011,19597,28,small
19019,IA,2011,17357,-9,small
19021,IA,2011,17669,19,small
19023,IA,2011,12600,58,small
19025,IA,2011,8148,-81,tiny
19027,IA,2011,17986,-45,small
19029,IA,2011,11240,-37,small
19031,IA,2011,15415,24,small
19033,IA,2011,34798,-112,small
19035,IA,2011,10150,1,small
19037,IA,2011,10556,-14,small
19039,IA,2011,7932,-8,tiny
19041,IA,2011,14061,-31,small
19043,IA,2011,15031,-51,small
19045,IA,2011,39891,-140,small
19047,IA,2011,15317,-93,small
19049,IA,2011,58130,847,medium
19051,IA,2011,7163,15,tiny
19053,IA,2011,5632,3,tiny
19055,IA,2011,14961,-11,small
19057,IA,2011,32291,38,small
19059,IA,2011,14355,-17,small
19061,IA,2011,79359,106,medium
19063,IA,2011,7955,-33,tiny
19065,IA,2011,16051,-81,small
19067,IA,2011,12989,55,small
19069,IA,2011,8881,-29,tiny
19071,IA,2011,5705,-15,tiny
19073,IA,2011,7563,13,tiny
19075,IA,2011,10712,13,small
19077,IA,2011,9076,-20,tiny
19079,IA,2011,12772,35,small
19081,IA,2011,9379,59,tiny
19083,IA,2011,13875,16,small
19085,IA,2011,12009,13,small
19087,IA,2011,15601,6,small
19089,IA,2011,8277,-13,tiny
19091,IA,2011,8166,-4,tiny
19093,IA,2011,6058,44,tiny
19095,IA,2011,14060,41,small
19097,IA,2011,16582,-9,small
19099,IA,2011,29037,-84,small
19101,IA,2011,11970,-29,small
19103,IA,2011,94302,-40,medium
19105,IA,2011,16019,18,small
19107,IA,2011,8407,8,tiny
19109,IA,2011,13328,22,small
19111,IA,2011,27350,31,small
19113,IA,2011,176017,-134,large
19115,IA,2011,9298,-8,tiny
19117,IA,2011,6896,32,tiny
19119,IA,2011,10209,-12,small
19121,IA,2011,12944,22,small
19123,IA,2011,17374,-9,small
19125,IA,2011,27191,-49,small
19127,IA,2011,33190,-74,small
19129,IA,2011,11816,-10,small
19131,IA,2011,8927,24,tiny
19133,IA,2011,7224,3,tiny
19135,IA,2011,6236,-9,tiny
19137,IA,2011,8305,13,tiny
19139,IA,2011,35943,-41,small
19141,IA,2011,12117,2,small
19143,IA,2011,5512,-18,tiny
19145,IA,2011,11447,-19,small
19147,IA,2011,7494,-38,tiny
19149,IA,2011,21965,15,small
19151,IA,2011,5928,-13,tiny
19153,IA,2011,360710,535,large
19155,IA,2011,72040,-104,medium
19157,IA,2011,14172,-68,small
19159,IA,2011,3736,-16,tiny
19161,IA,2011,8441,20,tiny
19163,IA,2011,136440,189,large
19165,IA,2011,10295,57,small
19167,IA,2011,29304,-3,small
19169,IA,2011,57246,-546,medium
19171,IA,2011,14771,-5,small
19173,IA,2011,5139,-24,tiny
19175,IA,2011,9671,9,tiny
19177,IA,2011,5954,-6,tiny
19179,IA,2011,27608,-24,small
19181,IA,2011,38509,108,small
19183,IA,2011,18695,-74,small
19185,IA,2011,4956,-10,tiny
19187,IA,2011,28032,-73,small
19189,IA,2011,8735,-18,tiny
19191,IA,2011,16610,-19,small
19193,IA,2011,82048,-236,medium
19195,IA,2011,6223,-16,tiny
19197,IA,2011,10588,39,small
23001,ME,2011,79064,-37,medium
23003,ME,2011,53474,-76,medium
23005,ME,2011,224293,87,large
23007,ME,2011,21236,143,small
23009,ME,2011,41657,84,small
23011,ME,2011,93629,-190,medium
23013,ME,2011,30849,24,small
23015,ME,2011,27252,13,small
23017,ME,2011,41213,-11,small
23019,ME,2011,110147,-203,large
23021,ME,2011,12182,-3,small
23023,ME,2011,28094,32,small
23025,ME,2011,36241,204,small
23027,ME,2011,29035,58,small
23029,ME,2011,23572,-125,small
23031,ME,2011,159982,400,large
26001,MI,2011,7913,82,tiny
26003,MI,2011,6788,31,tiny
26005,MI,2011,92985,97,medium
26007,MI,2011,23002,41,small
26009,MI,2011,18477,57,small
26011,MI,2011,12148,51,small
26013,MI,2011,5791,65,tiny
26015,MI,2011,48133,26,small
26017,MI,2011,88357,11,medium
26019,MI,2011,14056,96,small
26021,MI,2011,124439,-423,large
26023,MI,2011,33474,-44,small
26025,MI,2011,102537,-101,large
26027,MI,2011,39176,107,small
26029,MI,2011,21434,12,small
26031,MI,2011,20318,19,small
26033,MI,2011,26466,-66,small
26035,MI,2011,21885,-22,small
26037,MI,2011,61441,358,medium
26039,MI,2011,9672,26,tiny
26041,MI,2011,30350,-88,small
26043,MI,2011,21832,15,small
26045,MI,2011,85966,-45,medium
26047,MI,2011,27160,88,small
26049,MI,2011,326553,-1344,large
26051,MI,2011,19438,16,small
26053,MI,2011,10962,1,small
26055,MI,2011,72595,174,medium
26057,MI,2011,29854,36,small
26059,MI,2011,34692,-14,small
26061,MI,2011,25120,-155,small
26063,MI,2011,28022,1,small
26065,MI,2011,190622,-1608,large
26067,MI,2011,48188,-52,small
26069,MI,2011,19021,-16,small
26071,MI,2011,8820,1,tiny
26073,MI,2011,41800,-186,small
26075,MI,2011,120270,-178,large
26077,MI,2011,189519,-237,large
26079,MI,2011,12614,52,small
26081,MI,2011,504508,234,very large
26083,MI,2011,1703,2,tiny
26085,MI,2011,7046,-3,tiny
26087,MI,2011,73283,118,medium
26089,MI,2011,18146,48,small
26091,MI,2011,78811,134,medium
26093,MI,2011,156449,1027,large
